DATE[day/month/year hour:min],t[days],JDfrom0,JD,25 ,150 ,500  
1/10/1995  0:00,0.000000,728933.000000,273.000000,2.500000,1.500000,-0.500000 
1/10/1995  1:00,0.041667,728933.041667,273.041667,-0.003772,1.463846,-0.498692 
1/10/1995  2:00,0.083333,728933.083333,273.083333,-0.004452,1.407898,-0.497448 
1/10/1995  3:00,0.125000,728933.125000,273.125000,-0.004901,1.353159,-0.496284 
1/10/1995  4:00,0.166667,728933.166667,273.166667,-0.005255,1.299757,-0.495198 
1/10/1995  5:00,0.208333,728933.208333,273.208333,-0.005499,1.247795,-0.494185 
1/10/1995  6:00,0.250000,728933.250000,273.250000,-0.005800,1.197333,-0.493240 
1/10/1995  7:00,0.291667,728933.291667,273.291667,-0.006177,1.148385,-0.492359 
1/10/1995  8:00,0.333333,728933.333333,273.333333,-0.006738,1.100947,-0.491539 
1/10/1995  9:00,0.375000,728933.375000,273.375000,-0.007492,1.055000,-0.490773 
1/10/1995 10:00,0.416667,728933.416667,273.416667,-0.007842,1.010546,-0.490060 
1/10/1995 11:00,0.458333,728933.458333,273.458333,-0.007397,0.967601,-0.489395 
1/10/1995 12:00,0.500000,728933.500000,273.500000,-0.006273,0.926178,-0.488777 
1/10/1995 13:00,0.541667,728933.541667,273.541667,-0.005023,0.886262,-0.488205 
1/10/1995 14:00,0.583333,728933.583333,273.583333,-0.003999,0.847821,-0.487676 
1/10/1995 15:00,0.625000,728933.625000,273.625000,-0.003373,0.810817,-0.487187 
1/10/1995 16:00,0.666667,728933.666667,273.666667,-0.003099,0.775199,-0.486730 
1/10/1995 17:00,0.708333,728933.708333,273.708333,-0.003101,0.740892,-0.486303 
1/10/1995 18:00,0.750000,728933.750000,273.750000,-0.003364,0.707794,-0.485905 
1/10/1995 19:00,0.791667,728933.791667,273.791667,-0.003891,0.675796,-0.485537 
1/10/1995 20:00,0.833333,728933.833333,273.833333,-0.004410,0.644817,-0.485202 
1/10/1995 21:00,0.875000,728933.875000,273.875000,-0.004900,0.614818,-0.484899 
1/10/1995 22:00,0.916667,728933.916667,273.916667,-0.005419,0.585775,-0.484629 
1/10/1995 23:00,0.958333,728933.958333,273.958333,-0.006044,0.557663,-0.484391 
2/10/1995  0:00,1.000000,728934.000000,274.000000,-0.006850,0.530459,-0.484183 
