DATE[day/month/year hour:min],t[days],JDfrom0,JD,25 ,150 ,500  
1/10/1995  0:00,0.000000,728933.000000,273.000000,-400.000000,-275.000000,-62191.721376 
1/10/1995  1:00,0.041667,728933.041667,273.041667,-440.262462,-279.560632,-62028.843166 
1/10/1995  2:00,0.083333,728933.083333,273.083333,-490.854601,-287.693700,-61873.951909 
1/10/1995  3:00,0.125000,728933.125000,273.125000,-533.076350,-296.644583,-61728.983320 
1/10/1995  4:00,0.166667,728933.166667,273.166667,-574.209387,-305.312458,-61593.677106 
1/10/1995  5:00,0.208333,728933.208333,273.208333,-608.506798,-313.208254,-61467.507436 
1/10/1995  6:00,0.250000,728933.250000,273.250000,-650.107403,-320.234253,-61349.877931 
1/10/1995  7:00,0.291667,728933.291667,273.291667,-701.895641,-326.293738,-61240.221440 
1/10/1995  8:00,0.333333,728933.333333,273.333333,-777.500124,-331.216451,-61138.001039 
1/10/1995  9:00,0.375000,728933.375000,273.375000,-878.660871,-334.935365,-61042.696142 
1/10/1995 10:00,0.416667,728933.416667,273.416667,-927.684337,-338.085469,-60953.817572 
1/10/1995 11:00,0.458333,728933.458333,273.458333,-873.968616,-341.476222,-60871.009382 
1/10/1995 12:00,0.500000,728933.500000,273.500000,-736.045951,-345.709795,-60794.052403 
1/10/1995 13:00,0.541667,728933.541667,273.541667,-594.797556,-349.808965,-60722.814061 
1/10/1995 14:00,0.583333,728933.583333,273.583333,-492.871698,-350.824728,-60657.022103 
1/10/1995 15:00,0.625000,728933.625000,273.625000,-433.450171,-348.050536,-60596.034655 
1/10/1995 16:00,0.666667,728933.666667,273.666667,-406.454843,-343.310302,-60539.170692 
1/10/1995 17:00,0.708333,728933.708333,273.708333,-406.127389,-338.754080,-60486.018807 
1/10/1995 18:00,0.750000,728933.750000,273.750000,-430.826637,-336.413559,-60436.457210 
1/10/1995 19:00,0.791667,728933.791667,273.791667,-478.921573,-337.574770,-60390.627608 
1/10/1995 20:00,0.833333,728933.833333,273.833333,-527.797830,-340.941294,-60348.820909 
1/10/1995 21:00,0.875000,728933.875000,273.875000,-578.810334,-345.255850,-60311.147181 
1/10/1995 22:00,0.916667,728933.916667,273.916667,-638.086618,-349.672627,-60277.554354 
1/10/1995 23:00,0.958333,728933.958333,273.958333,-714.568178,-353.615051,-60247.894545 
2/10/1995  0:00,1.000000,728934.000000,274.000000,-817.275366,-356.721156,-60221.967221 
2/10/1995  1:00,1.041667,728934.041667,274.041667,-979.893652,-358.773001,-60199.549485 
2/10/1995  2:00,1.083333,728934.083333,274.083333,-1211.872931,-359.933192,-60180.413835 
2/10/1995  3:00,1.125000,728934.125000,274.125000,-1535.337304,-360.518334,-60164.363403 
2/10/1995  4:00,1.166667,728934.166667,274.166667,-1960.804817,-360.799167,-60151.241944 
2/10/1995  5:00,1.208333,728934.208333,274.208333,-2564.028658,-360.924107,-60140.926230 
2/10/1995  6:00,1.250000,728934.250000,274.250000,-3512.213852,-360.972818,-60133.314450 
2/10/1995  7:00,1.291667,728934.291667,274.291667,-4999.180594,-360.990002,-60128.321817 
2/10/1995  8:00,1.333333,728934.333333,274.333333,-7755.619401,-360.994855,-60125.882671 
2/10/1995  9:00,1.375000,728934.375000,274.375000,-13833.074483,-360.995816,-60125.964569 
2/10/1995 10:00,1.416667,728934.416667,274.416667,-19876.700636,-360.996172,-60128.572929 
2/10/1995 11:00,1.458333,728934.458333,274.458333,-15724.126992,-360.996846,-60133.681159 
2/10/1995 12:00,1.500000,728934.500000,274.500000,-8532.777836,-361.000539,-60141.155755 
2/10/1995 13:00,1.541667,728934.541667,274.541667,-4481.521016,-361.024144,-60150.807700 
2/10/1995 14:00,1.583333,728934.583333,274.583333,-2707.193530,-361.129828,-60162.481100 
2/10/1995 15:00,1.625000,728934.625000,274.625000,-1901.529104,-361.435097,-60176.069576 
2/10/1995 16:00,1.666667,728934.666667,274.666667,-1547.519544,-361.994741,-60191.499806 
2/10/1995 17:00,1.708333,728934.708333,274.708333,-1456.143043,-362.657021,-60208.714621 
2/10/1995 18:00,1.750000,728934.750000,274.750000,-1604.620798,-363.151520,-60227.655419 
2/10/1995 19:00,1.791667,728934.791667,274.791667,-2064.008047,-363.383596,-60248.254769 
2/10/1995 20:00,1.833333,728934.833333,274.833333,-2919.505285,-363.465340,-60270.448568 
2/10/1995 21:00,1.875000,728934.875000,274.875000,-4556.237655,-363.487196,-60294.190598 
2/10/1995 22:00,1.916667,728934.916667,274.916667,-8226.112169,-363.491186,-60319.459805 
2/10/1995 23:00,1.958333,728934.958333,274.958333,-19200.724936,-363.491567,-60346.293900 
3/10/1995  0:00,2.000000,728935.000000,275.000000,-76573.659363,-363.491577,-60375.020642 
3/10/1995  1:00,2.041667,728935.041667,275.041667,-300196.227027,-363.491577,-60407.200402 
3/10/1995  2:00,2.083333,728935.083333,275.083333,-527430.522546,-364.010022,-60444.101844 
3/10/1995  3:00,2.125000,728935.125000,275.125000,-722146.914146,-365.628158,-60483.311412 
3/10/1995  4:00,2.166667,728935.166667,275.166667,-878963.264429,-367.689475,-60522.406597 
3/10/1995  5:00,2.208333,728935.208333,275.208333,-965957.756062,-370.078651,-60561.366728 
3/10/1995  6:00,2.250000,728935.250000,275.250000,-1099071.532454,-372.766236,-60600.174864 
3/10/1995  7:00,2.291667,728935.291667,275.291667,-1198211.449662,-375.774059,-60638.814977 
3/10/1995  8:00,2.333333,728935.333333,275.333333,-1303564.490637,-379.064422,-60677.271902 
3/10/1995  9:00,2.375000,728935.375000,275.375000,-1373343.431506,-382.605588,-60715.532824 
3/10/1995 10:00,2.416667,728935.416667,275.416667,-1294307.522076,-386.180737,-60753.591794 
3/10/1995 11:00,2.458333,728935.458333,275.458333,-913247.171971,-389.236439,-60791.462436 
3/10/1995 12:00,2.500000,728935.500000,275.500000,-439170.406968,-391.207419,-60829.188845 
3/10/1995 13:00,2.541667,728935.541667,275.541667,-92723.395184,-392.059843,-60866.828824 
3/10/1995 14:00,2.583333,728935.583333,275.583333,-21014.623794,-392.344022,-60904.426137 
3/10/1995 15:00,2.625000,728935.625000,275.625000,-9660.983178,-392.519416,-60941.998342 
3/10/1995 16:00,2.666667,728935.666667,275.666667,-6620.754021,-392.681138,-60979.548843 
3/10/1995 17:00,2.708333,728935.708333,275.708333,-6355.048671,-392.839647,-61017.078397 
3/10/1995 18:00,2.750000,728935.750000,275.750000,-9019.404644,-392.995795,-61054.587001 
3/10/1995 19:00,2.791667,728935.791667,275.791667,-21539.491818,-393.169415,-61092.073718 
3/10/1995 20:00,2.833333,728935.833333,275.833333,-111590.113634,-393.481756,-61129.534193 
3/10/1995 21:00,2.875000,728935.875000,275.875000,-400182.268317,-394.314238,-61166.951217 
3/10/1995 22:00,2.916667,728935.916667,275.916667,-669694.538268,-395.927305,-61204.291033 
3/10/1995 23:00,2.958333,728935.958333,275.958333,-891598.943666,-398.248425,-61241.515343 
4/10/1995  0:00,3.000000,728936.000000,276.000000,-1061964.197366,-401.147818,-61278.591668 
4/10/1995  1:00,3.041667,728936.041667,276.041667,-1207268.353615,-404.516710,-61315.495109 
4/10/1995  2:00,3.083333,728936.083333,276.083333,-1330566.373297,-408.324772,-61352.203655 
4/10/1995  3:00,3.125000,728936.125000,276.125000,-1440591.570212,-412.570682,-61388.697398 
4/10/1995  4:00,3.166667,728936.166667,276.166667,-1561974.977635,-417.218982,-61424.958117 
4/10/1995  5:00,3.208333,728936.208333,276.208333,-1651115.414582,-422.238736,-61460.968492 
4/10/1995  6:00,3.250000,728936.250000,276.250000,-1738121.005109,-427.625728,-61496.715672 
4/10/1995  7:00,3.291667,728936.291667,276.291667,-1761996.880931,-433.299140,-61532.188207 
4/10/1995  8:00,3.333333,728936.333333,276.333333,-1760161.406895,-439.143657,-61567.379795 
4/10/1995  9:00,3.375000,728936.375000,276.375000,-1771112.029148,-445.147218,-61602.287461 
4/10/1995 10:00,3.416667,728936.416667,276.416667,-1643280.610987,-451.099306,-61636.913359 
4/10/1995 11:00,3.458333,728936.458333,276.458333,-1304806.167093,-456.377601,-61671.279003 
4/10/1995 12:00,3.500000,728936.500000,276.500000,-830237.540839,-460.318127,-61705.428091 
4/10/1995 13:00,3.541667,728936.541667,276.541667,-346120.543610,-462.594785,-61739.427848 
4/10/1995 14:00,3.583333,728936.583333,276.583333,-63962.885504,-463.509587,-61773.342860 
4/10/1995 15:00,3.625000,728936.625000,276.625000,-19262.109429,-463.838549,-61807.214268 
4/10/1995 16:00,3.666667,728936.666667,276.666667,-11892.471086,-464.074839,-61841.056360 
4/10/1995 17:00,3.708333,728936.708333,276.708333,-12023.675593,-464.298266,-61874.871122 
4/10/1995 18:00,3.750000,728936.750000,276.750000,-20537.281719,-464.536183,-61908.658941 
4/10/1995 19:00,3.791667,728936.791667,276.791667,-87682.211170,-464.911933,-61942.416211 
4/10/1995 20:00,3.833333,728936.833333,276.833333,-362163.481372,-465.919510,-61976.126660 
4/10/1995 21:00,3.875000,728936.875000,276.875000,-655478.562890,-467.995340,-62009.754603 
4/10/1995 22:00,3.916667,728936.916667,276.916667,-904836.029401,-471.121904,-62043.256033 
4/10/1995 23:00,3.958333,728936.958333,276.958333,-1126233.729383,-475.144249,-62076.591430 
5/10/1995  0:00,4.000000,728937.000000,277.000000,-1283575.279553,-479.912542,-62109.729795 
5/10/1995  1:00,4.041667,728937.041667,277.041667,-1416082.827295,-485.334482,-62142.644213 
5/10/1995  2:00,4.083333,728937.083333,277.083333,-1500914.410647,-491.302279,-62175.313738 
5/10/1995  3:00,4.125000,728937.125000,277.125000,-1559968.861519,-497.698413,-62207.721133 
5/10/1995  4:00,4.166667,728937.166667,277.166667,-1605323.325276,-504.465326,-62239.856783 
5/10/1995  5:00,4.208333,728937.208333,277.208333,-1635730.684305,-511.562968,-62271.712058 
5/10/1995  6:00,4.250000,728937.250000,277.250000,-1658845.802880,-518.960931,-62303.280255 
5/10/1995  7:00,4.291667,728937.291667,277.291667,-1673489.118698,-526.639671,-62334.556126 
5/10/1995  8:00,4.333333,728937.333333,277.333333,-1677833.236895,-534.569906,-62365.535772 
5/10/1995  9:00,4.375000,728937.375000,277.375000,-1677636.428409,-542.727941,-62396.216629 
5/10/1995 10:00,4.416667,728937.416667,277.416667,-1509845.708183,-550.801503,-62426.602074 
5/10/1995 11:00,4.458333,728937.458333,277.458333,-1207425.266864,-557.980664,-62456.715502 
5/10/1995 12:00,4.500000,728937.500000,277.500000,-768150.216071,-563.358388,-62486.601906 
5/10/1995 13:00,4.541667,728937.541667,277.541667,-325688.135509,-566.477605,-62516.331034 
5/10/1995 14:00,4.583333,728937.583333,277.583333,-80771.979743,-567.797854,-62545.968785 
5/10/1995 15:00,4.625000,728937.625000,277.625000,-30900.263480,-568.344456,-62575.556383 
5/10/1995 16:00,4.666667,728937.666667,277.666667,-22630.245768,-568.739919,-62605.108553 
5/10/1995 17:00,4.708333,728937.708333,277.708333,-30508.596252,-569.134725,-62634.627690 
5/10/1995 18:00,4.750000,728937.750000,277.750000,-112922.128128,-569.767746,-62664.109998 
5/10/1995 19:00,4.791667,728937.791667,277.791667,-430029.650361,-571.472835,-62693.534599 
5/10/1995 20:00,4.833333,728937.833333,277.833333,-686627.208959,-574.757083,-62722.859732 
5/10/1995 21:00,4.875000,728937.875000,277.875000,-862543.026827,-579.287017,-62752.041593 
5/10/1995 22:00,4.916667,728937.916667,277.916667,-999117.077432,-584.769257,-62781.048267 
5/10/1995 23:00,4.958333,728937.958333,277.958333,-1180896.871773,-591.205012,-62809.851930 
6/10/1995  0:00,5.000000,728938.000000,278.000000,-1302388.480918,-598.579632,-62838.426880 
6/10/1995  1:00,5.041667,728938.041667,278.041667,-1233670.053585,-606.227446,-62866.756823 
6/10/1995  2:00,5.083333,728938.083333,278.083333,-1219237.123550,-613.767751,-62894.844892 
6/10/1995  3:00,5.125000,728938.125000,278.125000,-1168699.016797,-621.279575,-62922.697010 
6/10/1995  4:00,5.166667,728938.166667,278.166667,-1151285.065005,-628.746262,-62950.318006 
6/10/1995  5:00,5.208333,728938.208333,278.208333,-1161066.584481,-636.351564,-62977.710302 
6/10/1995  6:00,5.250000,728938.250000,278.250000,-1182139.319567,-644.224400,-63004.872098 
6/10/1995  7:00,5.291667,728938.291667,278.291667,-1196415.607584,-652.391746,-63031.799739 
6/10/1995  8:00,5.333333,728938.333333,278.333333,-1178954.120333,-660.735755,-63058.491039 
6/10/1995  9:00,5.375000,728938.375000,278.375000,-1170729.428670,-669.183562,-63084.946471 
6/10/1995 10:00,5.416667,728938.416667,278.416667,-1125212.652417,-677.634851,-63111.168746 
6/10/1995 11:00,5.458333,728938.458333,278.458333,-992680.509599,-685.628926,-63137.167321 
6/10/1995 12:00,5.500000,728938.500000,278.500000,-815869.865432,-692.642645,-63162.963005 
6/10/1995 13:00,5.541667,728938.541667,278.541667,-636857.803602,-698.442126,-63188.584616 
6/10/1995 14:00,5.583333,728938.583333,278.583333,-495373.899745,-703.104599,-63214.061661 
6/10/1995 15:00,5.625000,728938.625000,278.625000,-404325.972962,-706.926402,-63239.418356 
6/10/1995 16:00,5.666667,728938.666667,278.666667,-352326.602833,-710.229567,-63264.671161 
6/10/1995 17:00,5.708333,728938.708333,278.708333,-335594.592445,-713.291409,-63289.829331 
6/10/1995 18:00,5.750000,728938.750000,278.750000,-357516.171560,-716.397573,-63314.895555 
6/10/1995 19:00,5.791667,728938.791667,278.791667,-408418.944772,-719.817867,-63339.866222 
