DATE[day/month/year hour:min],t[days],JDfrom0,JD,25 ,150 ,500  
1/10/1995  0:00,0.000000,728933.000000,273.000000,-400.000000,-275.000000,75.000000 
1/10/1995  1:00,0.041667,728933.041667,273.041667,-376.430877,-279.560632,75.000019 
1/10/1995  2:00,0.083333,728933.083333,273.083333,-339.048914,-287.693700,75.000038 
1/10/1995  3:00,0.125000,728933.125000,273.125000,-304.469082,-296.644583,75.000058 
1/10/1995  4:00,0.166667,728933.166667,273.166667,-276.168216,-305.312458,75.000077 
1/10/1995  5:00,0.208333,728933.208333,273.208333,-253.889395,-313.208254,75.000097 
1/10/1995  6:00,0.250000,728933.250000,273.250000,-236.334423,-320.234253,75.000117 
1/10/1995  7:00,0.291667,728933.291667,273.291667,-222.672623,-326.293738,75.000136 
1/10/1995  8:00,0.333333,728933.333333,273.333333,-212.469581,-331.216451,75.000156 
1/10/1995  9:00,0.375000,728933.375000,273.375000,-205.243184,-334.935365,75.000176 
1/10/1995 10:00,0.416667,728933.416667,273.416667,-199.422739,-338.085469,75.000196 
1/10/1995 11:00,0.458333,728933.458333,273.458333,-193.465353,-341.476222,75.000216 
1/10/1995 12:00,0.500000,728933.500000,273.500000,-186.352510,-345.709795,75.000236 
1/10/1995 13:00,0.541667,728933.541667,273.541667,-179.886236,-349.808965,75.000256 
1/10/1995 14:00,0.583333,728933.583333,273.583333,-178.461249,-350.824728,75.000276 
1/10/1995 15:00,0.625000,728933.625000,273.625000,-183.136269,-348.050536,75.000297 
1/10/1995 16:00,0.666667,728933.666667,273.666667,-191.351432,-343.310302,75.000317 
1/10/1995 17:00,0.708333,728933.708333,273.708333,-199.734346,-338.754080,75.000337 
1/10/1995 18:00,0.750000,728933.750000,273.750000,-204.396243,-336.413559,75.000358 
1/10/1995 19:00,0.791667,728933.791667,273.791667,-202.532027,-337.574770,75.000378 
1/10/1995 20:00,0.833333,728933.833333,273.833333,-196.613010,-340.941294,75.000398 
1/10/1995 21:00,0.875000,728933.875000,273.875000,-189.345969,-345.255850,75.000419 
1/10/1995 22:00,0.916667,728933.916667,273.916667,-182.299796,-349.672627,75.000439 
1/10/1995 23:00,0.958333,728933.958333,273.958333,-176.336362,-353.615051,75.000460 
2/10/1995  0:00,1.000000,728934.000000,274.000000,-171.858408,-356.721156,75.000480 
2/10/1995  1:00,1.041667,728934.041667,274.041667,-169.049371,-358.773001,75.000501 
2/10/1995  2:00,1.083333,728934.083333,274.083333,-167.497241,-359.933192,75.000522 
2/10/1995  3:00,1.125000,728934.125000,274.125000,-166.758772,-360.518334,75.000542 
2/10/1995  4:00,1.166667,728934.166667,274.166667,-166.400531,-360.799167,75.000563 
2/10/1995  5:00,1.208333,728934.208333,274.208333,-166.236442,-360.924107,75.000583 
2/10/1995  6:00,1.250000,728934.250000,274.250000,-166.165017,-360.972818,75.000604 
2/10/1995  7:00,1.291667,728934.291667,274.291667,-166.102038,-360.990002,75.000625 
2/10/1995  8:00,1.333333,728934.333333,274.333333,-166.044842,-360.994855,75.000645 
2/10/1995  9:00,1.375000,728934.375000,274.375000,-165.986937,-360.995816,75.000666 
2/10/1995 10:00,1.416667,728934.416667,274.416667,-165.923366,-360.996172,75.000686 
2/10/1995 11:00,1.458333,728934.458333,274.458333,-165.859645,-360.996846,75.000707 
2/10/1995 12:00,1.500000,728934.500000,274.500000,-165.808115,-361.000539,75.000728 
2/10/1995 13:00,1.541667,728934.541667,274.541667,-165.769297,-361.024144,75.000748 
2/10/1995 14:00,1.583333,728934.583333,274.583333,-165.679455,-361.129828,75.000769 
2/10/1995 15:00,1.625000,728934.625000,274.625000,-165.370911,-361.435097,75.000789 
