DATE[day/month/year hour:min],t[days],JDfrom0,JD,25 ,150 ,500  
1/10/1995  0:00,0.000000,728933.000000,273.000000,0.000000,0.000000,0.355997 
1/10/1995  1:00,0.041667,728933.041667,273.041667,0.026434,0.000000,0.355951 
1/10/1995  2:00,0.083333,728933.083333,273.083333,0.062346,0.000000,0.355907 
1/10/1995  3:00,0.125000,728933.125000,273.125000,0.094718,0.000000,0.355866 
1/10/1995  4:00,0.166667,728933.166667,273.166667,0.124124,0.000000,0.355827 
1/10/1995  5:00,0.208333,728933.208333,273.208333,0.148665,0.000000,0.355791 
1/10/1995  6:00,0.250000,728933.250000,273.250000,0.171899,0.000000,0.355757 
1/10/1995  7:00,0.291667,728933.291667,273.291667,0.193976,0.000000,0.355726 
1/10/1995  8:00,0.333333,728933.333333,273.333333,0.216447,0.000000,0.355696 
1/10/1995  9:00,0.375000,728933.375000,273.375000,0.238172,0.000000,0.355668 
1/10/1995 10:00,0.416667,728933.416667,273.416667,0.250209,0.000000,0.355643 
1/10/1995 11:00,0.458333,728933.458333,273.458333,0.249401,0.000000,0.355619 
1/10/1995 12:00,0.500000,728933.500000,273.500000,0.235809,0.000000,0.355596 
1/10/1995 13:00,0.541667,728933.541667,273.541667,0.213997,0.000000,0.355575 
1/10/1995 14:00,0.583333,728933.583333,273.583333,0.187514,0.000000,0.355556 
1/10/1995 15:00,0.625000,728933.625000,273.625000,0.161727,0.000000,0.355538 
1/10/1995 16:00,0.666667,728933.666667,273.666667,0.142182,0.000000,0.355522 
1/10/1995 17:00,0.708333,728933.708333,273.708333,0.133435,0.000000,0.355506 
1/10/1995 18:00,0.750000,728933.750000,273.750000,0.138669,0.000000,0.355491 
1/10/1995 19:00,0.791667,728933.791667,273.791667,0.157591,0.000000,0.355478 
1/10/1995 20:00,0.833333,728933.833333,273.833333,0.178556,0.000000,0.355466 
1/10/1995 21:00,0.875000,728933.875000,273.875000,0.199774,0.000000,0.355454 
1/10/1995 22:00,0.916667,728933.916667,273.916667,0.221190,0.000000,0.355445 
1/10/1995 23:00,0.958333,728933.958333,273.958333,0.243078,0.000000,0.355436 
2/10/1995  0:00,1.000000,728934.000000,274.000000,0.265178,0.000000,0.355428 
2/10/1995  1:00,1.041667,728934.041667,274.041667,0.289542,0.000000,0.355422 
2/10/1995  2:00,1.083333,728934.083333,274.083333,0.313541,0.000000,0.355416 
2/10/1995  3:00,1.125000,728934.125000,274.125000,0.336179,0.000000,0.355411 
2/10/1995  4:00,1.166667,728934.166667,274.166667,0.356209,0.000000,0.355407 
2/10/1995  5:00,1.208333,728934.208333,274.208333,0.374925,0.000000,0.355404 
2/10/1995  6:00,1.250000,728934.250000,274.250000,0.393323,0.000000,0.355402 
2/10/1995  7:00,1.291667,728934.291667,274.291667,0.410262,0.000000,0.355400 
2/10/1995  8:00,1.333333,728934.333333,274.333333,0.426915,0.000000,0.355400 
2/10/1995  9:00,1.375000,728934.375000,274.375000,0.443138,0.000000,0.355400 
2/10/1995 10:00,1.416667,728934.416667,274.416667,0.450825,0.000000,0.355401 
2/10/1995 11:00,1.458333,728934.458333,274.458333,0.446173,0.000000,0.355402 
2/10/1995 12:00,1.500000,728934.500000,274.500000,0.430266,0.000000,0.355404 
2/10/1995 13:00,1.541667,728934.541667,274.541667,0.405815,0.000000,0.355407 
2/10/1995 14:00,1.583333,728934.583333,274.583333,0.379007,0.000000,0.355411 
2/10/1995 15:00,1.625000,728934.625000,274.625000,0.355141,0.000000,0.355415 
2/10/1995 16:00,1.666667,728934.666667,274.666667,0.339287,0.000000,0.355419 
2/10/1995 17:00,1.708333,728934.708333,274.708333,0.334924,0.000000,0.355424 
2/10/1995 18:00,1.750000,728934.750000,274.750000,0.343965,0.000000,0.355430 
2/10/1995 19:00,1.791667,728934.791667,274.791667,0.363885,0.000000,0.355436 
2/10/1995 20:00,1.833333,728934.833333,274.833333,0.386683,0.000000,0.355442 
2/10/1995 21:00,1.875000,728934.875000,274.875000,0.409805,0.000000,0.355449 
2/10/1995 22:00,1.916667,728934.916667,274.916667,0.432407,0.000000,0.355457 
2/10/1995 23:00,1.958333,728934.958333,274.958333,0.453640,0.000000,0.355465 
3/10/1995  0:00,2.000000,728935.000000,275.000000,0.471739,0.000000,0.355473 
3/10/1995  1:00,2.041667,728935.041667,275.041667,0.479611,0.000000,0.355483 
3/10/1995  2:00,2.083333,728935.083333,275.083333,0.481447,0.000217,0.355494 
3/10/1995  3:00,2.125000,728935.125000,275.125000,0.482260,0.000893,0.355505 
3/10/1995  4:00,2.166667,728935.166667,275.166667,0.482720,0.001748,0.355517 
3/10/1995  5:00,2.208333,728935.208333,275.208333,0.482958,0.002731,0.355528 
3/10/1995  6:00,2.250000,728935.250000,275.250000,0.483228,0.003827,0.355539 
3/10/1995  7:00,2.291667,728935.291667,275.291667,0.483412,0.005040,0.355551 
3/10/1995  8:00,2.333333,728935.333333,275.333333,0.483561,0.006353,0.355562 
3/10/1995  9:00,2.375000,728935.375000,275.375000,0.483653,0.007748,0.355573 
3/10/1995 10:00,2.416667,728935.416667,275.416667,0.483568,0.009138,0.355584 
3/10/1995 11:00,2.458333,728935.458333,275.458333,0.483037,0.010313,0.355595 
3/10/1995 12:00,2.500000,728935.500000,275.500000,0.481367,0.011064,0.355606 
3/10/1995 13:00,2.541667,728935.541667,275.541667,0.473877,0.011387,0.355617 
3/10/1995 14:00,2.583333,728935.583333,275.583333,0.456033,0.011494,0.355628 
3/10/1995 15:00,2.625000,728935.625000,275.625000,0.438036,0.011560,0.355639 
3/10/1995 16:00,2.666667,728935.666667,275.666667,0.425743,0.011618,0.355650 
3/10/1995 17:00,2.708333,728935.708333,275.708333,0.424238,0.011674,0.355661 
3/10/1995 18:00,2.750000,728935.750000,275.750000,0.435996,0.011732,0.355672 
3/10/1995 19:00,2.791667,728935.791667,275.791667,0.456513,0.011797,0.355683 
3/10/1995 20:00,2.833333,728935.833333,275.833333,0.475307,0.011915,0.355694 
3/10/1995 21:00,2.875000,728935.875000,275.875000,0.481326,0.012228,0.355704 
3/10/1995 22:00,2.916667,728935.916667,275.916667,0.482759,0.012832,0.355715 
3/10/1995 23:00,2.958333,728935.958333,275.958333,0.483412,0.013695,0.355726 
4/10/1995  0:00,3.000000,728936.000000,276.000000,0.483771,0.014764,0.355737 
4/10/1995  1:00,3.041667,728936.041667,276.041667,0.484005,0.015992,0.355747 
4/10/1995  2:00,3.083333,728936.083333,276.083333,0.484187,0.017364,0.355758 
