Data,AirT,WindS,WindDir,RelHum,SWglobal,Iprec
1/1/2002 0:00,0.7,3.5,325,81,-2.1,0
1/1/2002 1:00,0.7,3.5,325,81,-2.1,0
1/1/2002 2:00,0.7,2.5,324,82,-2.1,0
1/1/2002 3:00,0.7,2.1,325,83,-2.0,0
1/1/2002 4:00,1.1,2.2,319,84,-1.1,0
1/1/2002 5:00,2.3,3.6,320,80,-0.6,0
1/1/2002 6:00,2.5,3.9,329,78,-2.0,0
1/1/2002 7:00,2.9,3.3,332,81,-1.6,0
1/1/2002 8:00,3.8,5.0,337,75,-0.9,0
1/1/2002 9:00,4.0,5.3,335,76,6.0,0
1/1/2002 10:00,4.3,5.6,338,76,61.4,0
1/1/2002 11:00,5.3,6.8,339,75,175.9,0
1/1/2002 12:00,5.7,7.6,347,75,205.5,0
1/1/2002 13:00,5.8,7.8,346,72,184.9,0
1/1/2002 14:00,5.7,7.0,343,72,155.9,0
1/1/2002 15:00,5.9,7.6,343,68,176.5,0
1/1/2002 16:00,5.1,5.8,334,71,44.9,0
1/1/2002 17:00,4.4,5.7,317,73,-0.1,0
1/1/2002 18:00,4.4,5.7,298,75,-1.8,0
1/1/2002 19:00,4.6,6.1,292,75,-1.8,0
1/1/2002 20:00,4.8,6.0,312,69,-2.0,0
1/1/2002 21:00,4.7,6.1,308,74,-2.2,0
1/1/2002 22:00,5.0,5.9,337,73,-1.6,0
1/1/2002 23:00,5.3,6.7,331,72,-1.7,0
2/1/2002 0:00,5.6,6.5,286,74,-1.4,0
2/1/2002 1:00,5.6,6.0,308,77,-1.2,0
2/1/2002 2:00,6.0,6.5,281,73,-1.6,0
2/1/2002 3:00,6.2,6.9,246,74,-1.1,0
2/1/2002 4:00,6.5,6.5,243,75,-0.3,0
2/1/2002 5:00,6.4,7.0,227,78,-0.5,0
2/1/2002 6:00,6.4,6.8,232,81,-0.4,0
2/1/2002 7:00,6.4,6.2,274,80,-0.3,0
2/1/2002 8:00,6.6,6.6,270,83,-0.2,0
2/1/2002 9:00,6.9,6.5,266,85,0.5,0
2/1/2002 10:00,7.1,6.8,242,88,2.9,0
2/1/2002 11:00,7.0,6.3,250,88,4.0,0.2
2/1/2002 12:00,6.6,6.2,229,93,15.5,1
2/1/2002 13:00,6.6,6.3,217,94,18.6,0.4
2/1/2002 14:00,6.9,6.6,210,95,15.1,1
2/1/2002 15:00,7.2,6.2,227,96,7.2,2.2
2/1/2002 16:00,7.4,6.1,231,96,2.9,1.6
2/1/2002 17:00,7.4,6.0,221,96,0.1,0.6
2/1/2002 18:00,7.5,6.7,208,96,-0.1,1.8
2/1/2002 19:00,7.5,6.2,226,96,-0.1,1.6
2/1/2002 20:00,7.6,6.3,224,95,0.0,1.6
2/1/2002 21:00,7.6,6.4,222,95,-0.1,1.6
2/1/2002 22:00,7.6,6.1,230,95,0.0,0.6
2/1/2002 23:00,7.6,5.8,225,96,-0.1,1.2
3/1/2002 0:00,7.5,6.6,229,96,-0.1,1
3/1/2002 1:00,7.5,6.0,221,96,0.0,1.2
3/1/2002 2:00,7.5,6.2,230,96,-0.1,1.6
3/1/2002 3:00,7.6,6.5,249,96,-0.1,1.6
3/1/2002 4:00,7.7,5.7,247,97,-0.1,1.8
3/1/2002 5:00,7.7,6.0,213,97,-0.1,1.2
3/1/2002 6:00,7.7,6.8,357,97,-0.1,0.4
3/1/2002 7:00,7.6,7.3,5,96,0.0,0
3/1/2002 8:00,7.6,6.9,311,95,-0.1,0.8
3/1/2002 9:00,7.5,6.8,331,96,1.1,1
3/1/2002 10:00,7.7,7.5,317,97,4.2,0.4
3/1/2002 11:00,8.0,6.7,315,96,9.2,0
3/1/2002 12:00,8.1,6.8,341,96,12.9,0
3/1/2002 13:00,8.2,6.5,333,96,15.8,0.2
3/1/2002 14:00,8.2,5.7,309,96,12.0,0.6
3/1/2002 15:00,8.3,6.4,357,96,11.0,0.4
3/1/2002 16:00,8.3,6.4,53,97,4.0,1
3/1/2002 17:00,8.4,6.0,9,97,0.2,0.2
3/1/2002 18:00,8.4,6.3,39,97,-0.1,1.2
3/1/2002 19:00,8.6,5.5,344,97,-0.1,0.8
3/1/2002 20:00,8.6,6.3,305,97,-0.1,0.2
3/1/2002 21:00,8.6,5.6,336,97,-0.1,0.2
3/1/2002 22:00,8.7,5.5,118,98,-0.1,0.6
3/1/2002 23:00,8.8,5.4,304,98,-0.1,0.6
4/1/2002 0:00,8.8,6.0,3,98,-0.1,1.2
4/1/2002 1:00,8.8,5.6,234,98,-0.1,0.8
4/1/2002 2:00,9.0,6.0,236,98,-0.1,0.4
4/1/2002 3:00,9.0,6.1,233,98,-0.1,0
4/1/2002 4:00,9.1,6.7,235,98,-0.1,0.4
4/1/2002 5:00,9.1,6.2,205,98,-0.1,0.6
4/1/2002 6:00,9.2,6.3,117,98,-0.1,0.99999
4/1/2002 7:00,8.6,5.5,114,98,-0.2,0.2
4/1/2002 8:00,8.2,4.8,177,98,-0.1,0
4/1/2002 9:00,8.5,4.4,181,98,3.9,0
4/1/2002 10:00,8.7,6.2,181,96,28.1,0
4/1/2002 11:00,8.9,6.2,172,94,64.5,0
4/1/2002 12:00,8.9,5.9,143,91,57.8,0
4/1/2002 13:00,8.9,5.2,162,89,47.0,0
4/1/2002 14:00,9.1,5.9,162,86,29.7,0
4/1/2002 15:00,9.1,5.9,162,90,21.0,0.4
4/1/2002 16:00,8.9,6.2,170,94,7.4,1.4
4/1/2002 17:00,9.1,6.4,175,95,0.1,2
4/1/2002 18:00,9.3,6.0,154,96,-0.1,2.2
4/1/2002 19:00,9.6,6.8,153,96,-0.1,2
4/1/2002 20:00,9.7,6.0,140,96,-0.1,3.2
4/1/2002 21:00,9.8,4.4,137,96,-0.1,4.6
4/1/2002 22:00,8.2,3.4,150,93,-0.4,1.2
4/1/2002 23:00,8.0,4.1,139,93,0.2,0.2
5/1/2002 0:00,7.5,1.9,141,92,-1.0,0
5/1/2002 1:00,6.9,1.2,146,92,-1.3,0
5/1/2002 2:00,5.8,2.0,144,93,-0.8,0
5/1/2002 3:00,6.4,1.6,143,91,-0.4,0
5/1/2002 4:00,6.0,0.6,142,91,-1.5,0
5/1/2002 5:00,5.2,1.3,147,93,-0.9,0
5/1/2002 6:00,5.5,1.0,153,91,-1.6,0
5/1/2002 7:00,5.1,0.7,137,93,-1.3,0
5/1/2002 8:00,4.5,0.7,157,91,-2.1,0
5/1/2002 9:00,4.4,1.5,143,93,2.1,0
5/1/2002 10:00,6.5,1.7,158,86,17.6,0
5/1/2002 11:00,6.0,0.9,150,90,163.7,0.2
5/1/2002 12:00,7.8,1.0,152,89,224.4,0
5/1/2002 13:00,8.6,1.2,145,88,243.6,0
5/1/2002 14:00,9.2,1.5,146,85,219.9,0
5/1/2002 15:00,9.0,2.2,150,88,155.2,0
5/1/2002 16:00,8.7,1.3,153,90,49.4,0
5/1/2002 17:00,7.8,1.5,151,93,0.6,0
5/1/2002 18:00,6.8,1.2,143,95,-0.5,0
5/1/2002 19:00,6.7,1.2,140,96,-0.3,0
5/1/2002 20:00,6.1,0.2,132,97,-0.5,0
5/1/2002 21:00,5.6,0.4,129,97,-0.1,0
5/1/2002 22:00,4.9,0.5,129,97,-0.5,0
5/1/2002 23:00,4.3,0.8,115,98,-0.3,0
6/1/2002 0:00,4.3,1.4,87,98,-0.1,0.2
6/1/2002 1:00,4.6,0.2,79,98,0.1,0
6/1/2002 2:00,4.9,0.9,130,98,0.0,0
6/1/2002 3:00,5.4,0.2,152,98,0.2,0
6/1/2002 4:00,5.9,2.0,154,98,0.0,0
6/1/2002 5:00,6.1,1.0,111,98,0.0,0
6/1/2002 6:00,6.1,1.3,102,98,0.0,0.2
6/1/2002 7:00,6.7,1.5,68,98,0.1,0
6/1/2002 8:00,7.2,2.8,82,98,0.1,0
