DATE[day/month/year hour:min],t[days],JDfrom0,JD,Prain_below_canopy[mm],Psnow_below_canopy[mm],Prain_above_canopy[mm],Prain_above_canopy[mm],Tair[C],Tsurface[C],Tvegetation[C],Evap_surface[mm],Transpiration_canopy[mm],LE[W/m2],H[W/m2],SW[W/m2],LW[W/m2],LEv[W/m2],Hv[W/m2],SWv[W/m2],LWv[W/m2],SWin[W/m2],LWin[W/m2],Mass_balance_error[mm]
27/12/2001  1:00,0.041667,731212.041667,360.041667,0.000000,0.000000,0.000000,0.000000,1.688662,4.017487,1.589710,0.043730,0.000000,30.264886,46.882847,-4.000000,-32.803264,-14.448695,-39.020182,0.000000,-26.993280,0.000000,268.300000,0.000021
27/12/2001  2:00,0.083333,731212.083333,360.083333,0.744835,0.000000,1.000000,0.000000,1.988662,3.530014,2.522265,0.041127,0.000000,28.476839,35.458960,-1.000000,-13.190683,0.325136,-21.381803,0.000000,-5.913511,0.000000,312.200000,0.019159
27/12/2001  3:00,0.125000,731212.125000,360.125000,0.595868,0.000000,0.800000,0.000000,2.188662,3.218625,2.533650,0.025054,0.000000,17.353220,20.709223,-1.400000,-14.303461,0.829792,-12.807570,0.000000,-12.258528,0.000000,304.700000,0.000175
27/12/2001  4:00,0.166667,731212.166667,360.166667,0.297934,0.000000,0.400000,0.000000,1.988662,2.867576,2.015926,0.020845,0.000000,14.442139,20.206383,-2.500000,-23.204033,-1.946520,-17.210865,0.000000,-27.626638,0.000000,277.800000,0.013091
27/12/2001  5:00,0.208333,731212.208333,360.208333,0.000000,0.000000,0.000000,0.000000,2.188662,2.678258,2.061123,0.013715,0.000000,9.504312,12.278463,-1.600000,-13.579484,-0.812673,-11.712252,0.000000,-11.899415,0.000000,303.700000,0.002988
27/12/2001  6:00,0.250000,731212.250000,360.250000,0.000000,0.000000,0.000000,0.000000,2.288662,2.491034,1.851536,0.012515,0.000000,8.674243,9.787536,-2.000000,-16.610258,-1.225854,-12.929635,0.000000,-17.583378,0.000000,293.900000,0.005717
27/12/2001  7:00,0.291667,731212.291667,360.291667,0.000000,0.000000,0.000000,0.000000,2.088662,2.288272,1.352086,0.009006,0.000000,6.243034,9.562110,-3.100000,-21.731509,-3.303556,-12.640437,0.000000,-24.169845,0.000000,280.100000,0.000573
27/12/2001  8:00,0.333333,731212.333333,360.333333,0.148967,0.000000,0.200000,0.000000,1.988662,2.182011,1.210952,0.004439,0.000000,3.077776,5.613069,-2.500000,-15.185783,-1.994031,-6.687460,0.000000,-11.294858,0.000000,299.400000,0.014249
27/12/2001  9:00,0.375000,731212.375000,360.375000,0.000000,0.000000,0.000000,0.000000,1.888662,2.136290,0.579522,0.000559,0.000000,0.387733,0.753929,2.800000,-18.787947,-0.120201,-0.388849,0.000000,-11.662083,0.000000,293.500000,0.003321
27/12/2001 10:00,0.416667,731212.416667,360.416667,0.000000,0.000000,0.000000,0.000000,1.788662,2.244687,0.712972,0.003453,0.000000,2.393661,5.278654,37.000000,-22.235043,-1.656131,-4.843698,15.671298,-19.464268,33.642708,283.200000,0.002380
27/12/2001 11:00,0.458333,731212.458333,360.458333,0.000000,0.000000,0.000000,0.000000,2.488662,2.673747,2.254384,0.004913,0.000315,3.404125,4.186908,83.700000,-21.124553,1.543037,0.020475,58.429834,-31.271355,121.863646,278.800000,0.000008
27/12/2001 12:00,0.500000,731212.500000,360.500000,0.000000,0.000000,0.000000,0.000000,3.988662,3.607197,3.713642,0.005027,0.002274,3.480389,-1.401803,161.100000,-28.202209,6.153868,8.727615,90.871203,-52.757798,187.402994,257.500000,0.005382
27/12/2001 13:00,0.541667,731212.541667,360.541667,0.000000,0.000000,0.000000,0.000000,4.988662,4.815325,5.122050,0.010085,0.005674,6.973675,-2.112449,204.200000,-27.296553,12.097312,14.735223,103.081934,-54.134905,212.398956,264.300000,0.000280
27/12/2001 14:00,0.583333,731212.583333,360.583333,0.000000,0.000000,0.000000,0.000000,4.888662,5.326827,5.252818,0.020090,0.005149,13.883436,5.071340,126.400000,-36.416796,11.658450,5.131141,84.835038,-65.463496,176.865359,242.700000,0.000049
27/12/2001 15:00,0.625000,731212.625000,360.625000,0.000000,0.000000,0.000000,0.000000,5.088662,5.449142,4.852515,0.023953,0.002619,16.550257,10.390117,81.600000,-38.990089,7.168812,-6.880494,58.258381,-63.400714,122.559929,239.900000,0.000040
27/12/2001 16:00,0.666667,731212.666667,360.666667,0.000000,0.000000,0.000000,0.000000,4.188662,5.048213,3.563014,0.024408,0.000060,16.870647,20.556458,17.900000,-39.823679,-0.109087,-21.480997,13.149322,-53.707698,28.339230,242.600000,0.000209
27/12/2001 17:00,0.708333,731212.708333,360.708333,0.000000,0.000000,0.000000,0.000000,2.688662,4.328010,2.506962,0.033174,0.000000,22.946721,34.708606,-4.000000,-41.606927,-4.706096,-31.870933,0.000000,-52.884177,0.000000,236.200000,0.000222
27/12/2001 18:00,0.750000,731212.750000,360.750000,0.000000,0.000000,0.000000,0.000000,2.388662,3.641197,1.850508,0.031026,0.000000,21.474971,33.260227,-4.200000,-40.515079,-6.665910,-34.581602,0.000000,-51.599526,0.000000,235.600000,0.000240
27/12/2001 19:00,0.791667,731212.791667,360.791667,0.000000,0.000000,0.000000,0.000000,2.088662,2.997811,1.384105,0.028217,0.000000,19.543115,30.849472,-4.300000,-39.238760,-7.980084,-35.317499,0.000000,-51.433097,0.000000,234.700000,0.000093
27/12/2001 20:00,0.833333,731212.833333,360.833333,0.000000,0.000000,0.000000,0.000000,1.888662,2.449103,0.848109,0.022015,0.000000,15.255490,25.241045,-4.400000,-38.518627,-8.897771,-32.524911,0.000000,-50.639226,0.000000,234.000000,0.000008
27/12/2001 21:00,0.875000,731212.875000,360.875000,0.000000,0.000000,0.000000,0.000000,2.088662,1.954539,0.578499,0.020010,0.000000,13.872296,19.964649,-4.000000,-37.949865,-11.024628,-35.924513,0.000000,-52.151681,0.000000,231.500000,0.000710
27/12/2001 22:00,0.916667,731212.916667,360.916667,0.000000,0.000000,0.000000,0.000000,2.288662,1.531726,0.355534,0.018259,0.000000,12.663599,12.690071,-3.900000,-36.988696,-10.697128,-37.442212,0.000000,-52.582380,0.000000,230.800000,0.001129
27/12/2001 23:00,0.958333,731212.958333,360.958333,0.000000,0.000000,0.000000,0.000000,2.488662,1.215012,0.263033,0.019215,0.000000,13.327821,2.632788,-3.100000,-35.244937,-8.395908,-41.181314,0.000000,-51.788552,0.000000,232.800000,0.000893
28/12/2001  0:00,1.000000,731213.000000,361.000000,0.100411,0.017169,0.133666,0.066334,2.688662,0.982606,0.083435,0.015497,0.000000,10.751466,-2.581507,-3.200000,-34.493010,-8.511822,-38.810180,0.000000,-50.982970,0.000000,233.700000,0.001193
28/12/2001  1:00,1.041667,731213.041667,361.041667,0.000000,0.000000,0.000000,0.000000,2.488662,-1.941563,-0.224844,0.001846,0.000000,-14.024750,-42.955306,-3.300000,-44.703965,-6.453912,-18.455042,0.000000,-32.504872,0.000000,233.400000,0.000718
28/12/2001  2:00,1.083333,731213.083333,361.083333,0.000000,0.000000,0.000000,0.000000,2.888662,0.080654,-2.227819,0.001909,0.000000,4.798323,-22.356340,-2.900000,-51.811114,-6.655218,-20.977735,0.000000,-30.507964,0.000000,237.700000,0.000021
28/12/2001  3:00,1.125000,731213.125000,361.125000,0.000000,0.000000,0.000000,0.000000,2.788662,0.201843,-0.683251,0.009678,0.000000,7.759195,-15.169262,-3.000000,-33.638312,-19.010520,-50.880080,0.000000,-49.000200,0.000000,233.100000,0.002212
28/12/2001  4:00,1.166667,731213.166667,361.166667,0.000000,0.000000,0.000000,0.000000,2.688662,0.249570,-0.585692,0.013385,0.000000,9.182122,-14.875975,-3.100000,-33.625770,-10.032172,-43.475755,0.000000,-50.458042,0.000000,232.100000,0.002073
28/12/2001  5:00,1.208333,731213.208333,361.208333,0.000000,0.000000,0.000000,0.000000,2.488662,-0.156966,-0.785403,0.013783,0.000000,8.682771,-14.157990,-3.500000,-34.879613,-7.689518,-40.625753,0.000000,-53.882861,0.000000,225.500000,0.001376
28/12/2001  6:00,1.250000,731213.250000,361.250000,0.000000,0.000000,0.000000,0.000000,2.288662,-0.225280,-1.154073,0.014332,0.000000,10.751517,-10.953330,-3.500000,-35.068386,-6.723617,-40.022336,0.000000,-52.535025,0.000000,226.300000,0.001878
28/12/2001  7:00,1.291667,731213.291667,361.291667,0.000000,0.000000,0.000000,0.000000,2.388662,-0.551476,-1.367671,0.013115,0.000000,8.899202,-8.027301,-3.500000,-33.488573,-6.744004,-35.987132,0.000000,-49.320544,0.000000,229.400000,0.000099
28/12/2001  8:00,1.333333,731213.333333,361.333333,0.000000,0.000000,0.000000,0.000000,2.388662,-0.577356,-1.701896,0.013225,0.000000,10.380217,-3.749280,-3.300000,-33.758615,-6.560886,-34.844207,0.000000,-47.619974,0.000000,230.600000,0.003397
28/12/2001  9:00,1.375000,731213.375000,361.375000,0.000000,0.000000,0.000000,0.000000,2.488662,0.133937,-2.136814,0.009142,0.000000,6.985870,10.949242,7.100000,-37.673656,-6.606825,-22.887514,0.000000,-41.179414,0.000000,232.900000,0.003017
28/12/2001 10:00,1.416667,731213.416667,361.416667,0.000000,0.000000,0.000000,0.000000,3.188662,0.134656,-1.462929,0.012214,0.000001,9.291660,4.522474,50.000000,-33.963413,-6.828364,-30.287774,15.889443,-41.878246,33.884697,238.200000,0.001445
28/12/2001 11:00,1.458333,731213.458333,361.458333,0.000000,0.000000,0.000000,0.000000,3.988662,0.391671,-0.147510,0.004453,0.000069,3.133208,-6.925882,96.500000,-31.319468,-0.797163,-12.151858,59.197785,-49.245013,122.785814,238.500000,0.001349
28/12/2001 12:00,1.500000,731213.500000,361.500000,0.000000,0.000000,0.000000,0.000000,5.888662,1.336206,1.716370,0.003564,0.001985,2.468185,-18.594672,156.600000,-27.696911,4.239539,2.849779,92.093600,-54.430002,188.963273,246.000000,0.001671
28/12/2001 13:00,1.541667,731213.541667,361.541667,0.000000,0.000000,0.000000,0.000000,6.488662,2.474614,3.231496,0.008744,0.005521,6.042231,-31.418995,159.400000,-26.832684,9.863610,11.382935,104.294961,-57.901387,213.895093,250.300000,0.001143
28/12/2001 14:00,1.583333,731213.583333,361.583333,0.000000,0.000079,0.000000,0.000000,5.888662,3.088219,3.541423,0.007369,0.003048,5.083240,-14.976030,97.800000,-22.948934,5.641650,2.609069,60.657663,-45.732715,128.505844,266.900000,0.000864
28/12/2001 15:00,1.625000,731213.625000,361.625000,0.000000,0.000000,0.000000,0.000000,5.488662,3.322055,3.507041,0.005897,0.001100,4.072765,-6.206930,43.200000,-14.514281,2.589540,-3.002919,25.735146,-25.265644,55.133040,295.300000,0.000629
28/12/2001 16:00,1.666667,731213.666667,361.666667,0.000000,0.000000,0.000000,0.000000,4.988662,3.246706,2.845195,0.005744,0.000075,3.969986,1.079508,8.400000,-18.188060,-0.381855,-9.902836,5.647122,-25.329081,12.098726,288.500000,0.000042
28/12/2001 17:00,1.708333,731213.708333,361.708333,0.000000,0.000000,0.000000,0.000000,4.388662,3.018216,2.301630,0.010638,0.000000,7.349351,3.552872,-2.500000,-22.528435,-3.081628,-19.726023,0.000000,-30.432852,0.000000,276.600000,0.000516
28/12/2001 18:00,1.750000,731213.750000,361.750000,0.000000,0.000000,0.000000,0.000000,3.688662,2.898840,1.503561,0.000790,0.000000,0.546771,1.117705,-2.600000,-19.224673,-0.457990,-1.654117,0.000000,-16.220903,0.000000,292.000000,0.000441
28/12/2001 19:00,1.791667,731213.791667,361.791667,0.000000,0.000000,0.000000,0.000000,3.488662,2.816992,1.251492,0.000462,0.000000,0.320171,0.687040,-1.300000,-15.036257,-0.260692,-0.903197,0.000000,-5.910392,0.000000,305.800000,0.000036
28/12/2001 20:00,1.833333,731213.833333,361.833333,0.000000,0.000000,0.000000,0.000000,4.088662,2.726829,1.210022,0.001314,0.000000,0.908805,2.121016,-1.200000,-14.295420,-1.073076,-3.336263,0.000000,-5.088631,0.000000,307.100000,0.000002
28/12/2001 21:00,1.875000,731213.875000,361.875000,0.000000,0.000000,0.000000,0.000000,3.788662,2.683222,1.354459,0.000219,0.000000,0.151810,0.347113,-0.800000,-9.904468,-0.153980,-0.543977,0.000000,1.426559,0.000000,318.600000,0.000296
28/12/2001 22:00,1.916667,731213.916667,361.916667,0.148967,0.000000,0.200000,0.000000,3.588662,2.653279,1.585735,0.000016,0.000000,0.011113,0.169511,-1.400000,-7.420552,-0.003677,-0.016571,0.000000,3.430445,0.000000,323.800000,0.000102
28/12/2001 23:00,1.958333,731213.958333,361.958333,0.297934,0.000000,0.400000,0.000000,3.588662,2.639328,1.856817,0.000015,0.000000,0.010479,0.073318,-1.000000,-5.377571,-0.006424,-0.029315,0.000000,4.217414,0.000000,327.500000,0.000061
29/12/2001  0:00,2.000000,731214.000000,362.000000,0.595868,0.000000,0.800000,0.000000,3.388662,2.631011,2.056946,0.000125,0.000000,0.086770,0.103926,-0.700000,-4.783191,-0.072734,-0.290243,0.000000,3.013892,0.000000,327.500000,0.000344
