DATE[day/month/year hour:min],t[days],JDfrom0,JD,Qsup_tot[m3/s],Qsub_tot[m3/s],Etot[kg/ha],EOCtot[kg/ha]
1/1/2002  1:00,0.041667,731217.041667,0.041667,0.000000,0.066037,0.000000,0.000000
1/1/2002  2:00,0.083333,731217.083333,0.083333,0.000266,0.073053,0.000000,0.000000
1/1/2002  3:00,0.125000,731217.125000,0.125000,0.000295,0.077235,0.000000,0.000000
1/1/2002  4:00,0.166667,731217.166667,0.166667,0.000312,0.079714,0.000000,0.000000
1/1/2002  5:00,0.208333,731217.208333,0.208333,0.000325,0.081179,0.000000,0.000000
1/1/2002  6:00,0.250000,731217.250000,0.250000,0.000335,0.082043,0.000000,0.000000
1/1/2002  7:00,0.291667,731217.291667,0.291667,0.000345,0.082552,0.000000,0.000000
1/1/2002  8:00,0.333333,731217.333333,0.333333,0.000357,0.082850,0.000000,0.000000
1/1/2002  9:00,0.375000,731217.375000,0.375000,0.000371,0.083025,0.000000,0.000000
1/1/2002 10:00,0.416667,731217.416667,0.416667,0.000388,0.083126,0.000000,0.000000
1/1/2002 11:00,0.458333,731217.458333,0.458333,0.000408,0.083183,0.000000,0.000000
1/1/2002 12:00,0.500000,731217.500000,0.500000,0.000431,0.083215,0.000000,0.000000
1/1/2002 13:00,0.541667,731217.541667,0.541667,0.000457,0.083232,0.000000,0.000000
1/1/2002 14:00,0.583333,731217.583333,0.583333,0.000485,0.083240,0.000000,0.000000
1/1/2002 15:00,0.625000,731217.625000,0.625000,0.000516,0.083243,0.000000,0.000000
1/1/2002 16:00,0.666667,731217.666667,0.666667,0.000548,0.083242,0.000000,0.000000
1/1/2002 17:00,0.708333,731217.708333,0.708333,0.000581,0.083240,0.000000,0.000000
1/1/2002 18:00,0.750000,731217.750000,0.750000,0.000614,0.083236,0.000000,0.000000
1/1/2002 19:00,0.791667,731217.791667,0.791667,0.000647,0.083232,0.000000,0.000000
1/1/2002 20:00,0.833333,731217.833333,0.833333,0.000680,0.083228,0.000000,0.000000
1/1/2002 21:00,0.875000,731217.875000,0.875000,0.000712,0.083223,0.000000,0.000000
1/1/2002 22:00,0.916667,731217.916667,0.916667,0.000743,0.083218,0.000000,0.000000
1/1/2002 23:00,0.958333,731217.958333,0.958333,0.000773,0.083213,0.000000,0.000000
2/1/2002  0:00,1.000000,731218.000000,1.000000,0.000802,0.083207,0.000000,0.000000
2/1/2002  1:00,1.041667,731218.041667,1.041667,0.000829,0.083202,0.000000,0.000000
2/1/2002  2:00,1.083333,731218.083333,1.083333,0.000857,0.083197,0.000000,0.000000
2/1/2002  3:00,1.125000,731218.125000,1.125000,0.000986,0.083192,0.000000,0.000000
2/1/2002  4:00,1.166667,731218.166667,1.166667,0.000811,0.083186,0.000000,0.000000
2/1/2002  5:00,1.208333,731218.208333,1.208333,0.001431,0.083181,0.000000,0.000000
2/1/2002  6:00,1.250000,731218.250000,1.250000,0.000496,0.083176,0.000000,0.000000
2/1/2002  7:00,1.291667,731218.291667,1.291667,0.001850,0.083172,0.000000,0.000000
2/1/2002  8:00,1.333333,731218.333333,1.333333,0.000462,0.083173,0.000000,0.000000
2/1/2002  9:00,1.375000,731218.375000,1.375000,0.001938,0.083176,0.000000,0.000000
2/1/2002 10:00,1.416667,731218.416667,1.416667,0.000996,0.083182,0.000000,0.000000
2/1/2002 11:00,1.458333,731218.458333,1.458333,0.001846,0.083185,0.000000,0.000000
2/1/2002 12:00,1.500000,731218.500000,1.500000,0.002287,0.083186,0.000000,0.000000
2/1/2002 13:00,1.541667,731218.541667,1.541667,0.002633,0.083186,0.000000,0.000000
2/1/2002 14:00,1.583333,731218.583333,1.583333,0.002865,0.083190,0.000000,0.000000
2/1/2002 15:00,1.625000,731218.625000,1.625000,0.003449,0.083194,0.000000,0.000000
2/1/2002 16:00,1.666667,731218.666667,1.666667,0.003836,0.083209,0.000000,0.000000
