DATE[day/month/year hour:min],t[days],JDfrom0,JD,Psnow_over_canopy[mm],Prain_over_canopy[mm],Psnow_under_canopy[mm],Prain_under_canopy[mm],Prain_rain_on_snow[mm],Wind speed[m/s],Wind direction[deg],Relative Humidity[-],Pressure[kPa],Tair[C],Tdew[C],Tsurface[C],Tvegetation[C],Tcanopyair[C],Surface Energy balance[W/m2],Soil heat flux[W/m2],SWin[W/m2],SWbeam[W/m2],SWdiff[W/m2],LWin[W/m2],LWin_min[W/m2],LWin_max[W/m2],SWnet[W/m2],LWnet[W/m2],H[W/m2],LE[W/m2],Canopy fraction[-],LSAI[m2/m2],z0veg[m],d0veg[m],Estored_canopy[W/m2],SWv[W/m2],LWv[W/m2],Hv[W/m2],LEv[W/m2],Hg_unveg[W/m2],LEg_unveg[W/m2],Hg_veg[W/m2],LEg_veg[W/m2],Evap_surface[mm],Trasp_canopy[mm],Water on canopy[mm],Snow on canopy[mm],Qvegetation[-],Qsurface[-],Qair[-],Qcanopyair[-],LObukhov[m],LObukhovcanopy[m],Wind speed top canopy[m/s],Decay of K in canopy[-],SWup[W/m2],LWup[W/m2],Hup[W/m2],LEup[W/m2],snow melted[mm],snow evap[mm],snow subl[mm],glac melted[mm],glac evap[mm],glac subl[mm],thawed soil depth[mm],water table depth[mm]
27/12/2001  1:00,0.041667,731212.041667,360.041667,0.000000,0.000000,0.000000,0.000000,0.000000,1.821059,256.999659,0.900194,991.110883,1.495640,0.042360,3.978213,1.693463,2.737272,-117.560662,-117.560662,0.000000,0.000000,0.000000,268.300000,239.447798,113.782303,-4.000000,-21.532525,56.361836,35.666300,0.881100,2.687481,0.020000,0.133400,37.601030,0.000000,-38.743622,-54.911740,-21.432912,14.096508,9.185279,62.065335,39.239784,0.051534,0.000000,0.033442,0.000000,0.004364,0.005134,0.003873,0.004499,-10.620064,-3.216757,0.418879,1.869542,0.000000,325.136240,7.979109,16.781764,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,646.044542
27/12/2001  2:00,0.083333,731212.083333,360.083333,0.000000,1.000000,0.000000,0.674375,0.000000,4.097384,246.999441,0.910196,991.110883,1.795640,0.491137,3.451370,2.587096,2.867685,-82.103615,-82.103615,0.000000,0.000000,0.000000,312.200000,241.211417,115.018844,-1.000000,-8.214895,41.009229,31.879491,0.881100,2.687481,0.020000,0.133400,20.963379,0.000000,-8.583490,-29.613609,0.066740,16.092476,11.137667,44.371622,34.678498,0.046039,0.000000,0.404771,0.000000,0.004652,0.004946,0.004001,0.004556,-62.908098,-31.670062,0.843870,1.982542,0.000000,328.398326,14.916681,31.938295,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,650.321035
27/12/2001  3:00,0.125000,731212.125000,360.125000,0.000000,0.800000,0.000000,0.539500,0.000000,3.460013,250.999521,0.930200,991.110883,1.995640,0.989697,3.132385,2.548592,2.738566,-53.202604,-53.202604,0.000000,0.000000,0.000000,304.700000,242.859647,116.605233,-1.400000,-8.172490,24.425402,19.204712,0.881100,2.687481,0.020000,0.133400,-0.837324,0.000000,-17.526084,-17.442401,0.753641,9.598117,6.897795,26.426271,20.865470,0.027726,0.000000,0.699316,0.000000,0.004639,0.004836,0.004148,0.004564,-66.739816,-32.777780,0.710848,1.983111,0.000000,327.948292,9.056904,19.868745,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,651.348185
27/12/2001  4:00,0.166667,731212.166667,360.166667,0.000000,0.400000,0.000000,0.269750,0.000000,3.004743,216.999437,0.930201,991.110883,1.795640,0.791317,2.792550,2.011423,2.347633,-56.657662,-56.657662,0.000000,0.000000,0.000000,277.800000,241.904796,116.138689,-2.500000,-13.232798,24.612768,16.312095,0.881100,2.687481,0.020000,0.133400,-12.164882,0.000000,-39.374829,-23.696242,-3.513706,7.555870,5.607308,26.914513,17.756654,0.023542,0.000000,0.851606,0.000000,0.004464,0.004720,0.004089,0.004460,-62.999601,-21.556654,0.618799,1.974806,0.000000,325.441411,3.734013,13.216170,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,650.860846
27/12/2001  5:00,0.208333,731212.208333,360.208333,0.000000,0.000000,0.000000,0.000000,0.000000,2.822642,259.999734,0.940203,991.110883,1.995640,1.137880,2.602242,2.039257,2.296971,-35.670642,-35.670642,0.000000,0.000000,0.000000,303.700000,243.205849,117.174235,-1.600000,-7.807890,15.544754,10.717998,0.881100,2.687481,0.020000,0.133400,0.661837,0.000000,-16.863825,-15.875072,-1.650590,4.313298,3.814993,17.060384,11.649525,0.015466,0.000000,0.854041,0.000000,0.004473,0.004657,0.004193,0.004470,-106.272594,-27.952170,0.570230,1.980321,0.000000,325.521563,1.557230,9.263663,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,649.804432
27/12/2001  6:00,0.250000,731212.250000,360.250000,0.000000,0.000000,0.000000,0.000000,0.000000,2.640536,252.999565,0.920198,991.110883,2.095640,0.939162,2.422778,1.816505,2.136862,-34.482314,-34.482314,0.000000,0.000000,0.000000,293.900000,242.989357,116.272542,-2.000000,-9.496978,13.130019,9.855317,0.881100,2.687481,0.020000,0.133400,-5.028042,0.000000,-24.908849,-17.644866,-2.235942,2.182824,3.530269,14.607290,10.708851,0.014219,0.000000,0.857060,0.000000,0.004402,0.004598,0.004133,0.004406,-398.289753,-24.458960,0.519048,1.977649,0.000000,324.461131,-2.416870,7.885229,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,648.468160
27/12/2001  7:00,0.291667,731212.291667,360.291667,0.000000,0.000000,0.000000,0.000000,0.000000,1.638949,209.999611,0.920198,991.110883,1.895640,0.741022,2.238692,1.326805,1.782673,-36.410006,-36.410006,0.000000,0.000000,0.000000,280.100000,242.034797,115.808288,-3.100000,-12.839709,12.889175,7.581123,0.881100,2.687481,0.020000,0.133400,-11.282126,0.000000,-34.355412,-18.026914,-5.046371,1.603816,2.436975,14.412079,8.275300,0.010936,0.000000,0.863964,0.000000,0.004250,0.004537,0.004074,0.004295,159.914882,-5.324099,0.302877,1.912209,0.000000,322.347324,-2.994337,3.134765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,646.924869
27/12/2001  8:00,0.333333,731212.333333,360.333333,0.000000,0.200000,0.000000,0.134875,0.000000,1.092636,235.999279,0.930201,991.110883,1.795640,0.791317,2.139032,1.240712,1.627052,-24.276199,-24.276199,0.000000,0.000000,0.000000,299.400000,241.904796,116.138689,-2.500000,-9.388733,8.223155,4.164311,0.881100,2.687481,0.020000,0.133400,-2.290654,0.000000,-16.362563,-10.767389,-3.304520,1.201458,1.619062,9.170698,4.507780,0.006006,0.000000,0.942521,0.000000,0.004224,0.004505,0.004089,0.004269,27.384251,-1.495949,0.166421,1.780485,0.000000,322.028959,-1.263991,1.252699,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,645.315438
27/12/2001  9:00,0.375000,731212.375000,360.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.546313,31.000000,0.930201,991.110883,1.695640,0.692126,2.126947,0.593283,0.617466,-10.896238,-10.896238,0.000000,0.000000,0.000000,293.500000,241.428910,115.906083,2.800000,-12.729471,0.763382,0.203386,0.881100,2.687481,0.020000,0.133400,-16.428853,0.000000,-16.769008,-0.258427,-0.081728,0.994367,1.124587,0.732211,0.079074,0.000293,0.000000,0.942730,0.000000,0.004031,0.004501,0.004060,0.004034,0.117095,-0.013812,0.024544,1.075328,0.000000,319.501241,0.535682,0.131375,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,643.827275
27/12/2001 10:00,0.416667,731212.416667,360.416667,0.000000,0.000000,0.000000,0.000000,0.000000,0.910530,255.999635,0.940203,991.110883,1.595640,0.740644,2.267686,0.777656,1.208104,13.205292,13.205292,33.975982,1.904360,32.071622,283.200000,241.295603,116.236535,37.000000,-14.464050,6.625601,2.705058,0.881100,2.687481,0.020000,0.133400,4.019756,22.705928,-28.015946,-6.877449,-2.452326,2.127665,1.629654,7.232575,2.850178,0.003902,0.000000,0.946248,0.000000,0.004085,0.004547,0.004074,0.004147,3.318630,-0.170717,0.073084,1.433422,6.386220,320.271972,0.565881,0.544314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,642.410291
27/12/2001 11:00,0.458333,731212.458333,360.458333,0.000000,0.000000,0.000000,0.000000,0.000000,1.456847,249.999500,0.930200,991.110883,2.295640,1.287266,2.740074,2.368477,2.514613,62.015381,62.015381,126.341829,43.919743,82.422086,278.800000,244.299646,117.308390,83.700000,-11.487389,5.797230,4.399999,0.881100,2.687481,0.020000,0.133400,36.503521,86.038076,-45.215224,1.599332,2.719999,1.739983,1.954792,6.344736,4.729968,0.006350,0.000358,0.944164,0.000000,0.004580,0.004703,0.004238,0.004540,531.149282,51.602713,0.278473,2.013923,24.581354,326.795221,7.206401,6.796590,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,641.068959
27/12/2001 12:00,0.500000,731212.500000,360.500000,0.000000,0.000000,0.000000,0.000000,0.000000,1.912112,268.999973,0.860182,991.110883,3.795640,1.680695,3.762933,3.881527,3.824220,144.781055,144.781055,195.562521,97.362235,98.200287,257.500000,249.008308,116.810636,161.100000,-14.166362,-1.468124,3.620707,0.881100,2.687481,0.020000,0.133400,33.662089,134.532387,-76.348602,15.311428,9.210268,-0.132975,3.013545,-1.648296,3.702640,0.005230,0.002237,0.933942,0.000000,0.005099,0.005057,0.004360,0.004922,28.198094,4.689476,0.292926,2.147971,37.746654,333.489871,12.022773,11.735873,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,639.739106
27/12/2001 13:00,0.541667,731212.541667,360.541667,0.000000,0.000000,0.000000,0.000000,0.000000,2.003164,318.000696,0.790165,991.110883,4.795640,1.478009,5.062798,5.339326,5.162101,185.623518,185.623518,221.822262,120.278013,101.544249,264.300000,251.110930,115.143158,204.200000,-13.495490,-2.581035,7.662027,0.881100,2.687481,0.020000,0.133400,31.697425,152.929939,-78.571389,24.841754,17.819370,1.141117,5.607183,-3.083321,7.939318,0.011082,0.005527,0.914210,0.000000,0.005648,0.005540,0.004297,0.005288,49.147265,4.821629,0.335750,2.144208,42.520298,340.439597,19.307032,23.362672,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,638.438573
27/12/2001 14:00,0.583333,731212.583333,360.583333,0.000000,0.000000,0.000000,0.000000,0.000000,1.730006,282.000316,0.770161,991.110883,4.695640,1.024950,5.647485,5.480927,5.444207,82.624797,82.624797,182.963284,75.636379,107.326905,242.700000,249.791741,113.813762,126.400000,-19.420794,7.165893,17.188515,0.881100,2.687481,0.020000,0.133400,3.112354,125.198498,-94.385856,10.494131,17.206157,4.420536,7.863945,7.536366,18.446820,0.024875,0.004969,0.894333,0.000000,0.005704,0.005771,0.004159,0.005278,-43.773415,35.077220,0.362335,2.020449,35.023507,341.396778,16.412271,32.348858,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4302.922910,637.134964
