DATE[day/month/year hour:min],t[days],JDfrom0,JD,101 ,303 ,603 ,2553  
27/12/2001  0:00,0.000000,731212.000000,360.000000,4.700000,5.700000,5.800000,6.000000 
27/12/2001  1:00,0.041667,731212.041667,360.041667,3.986711,5.680639,5.799598,5.999871 
27/12/2001  2:00,0.083333,731212.083333,360.083333,3.475471,5.652783,5.799088,5.999742 
27/12/2001  3:00,0.125000,731212.125000,360.125000,3.159436,5.619745,5.798421,5.999613 
27/12/2001  4:00,0.166667,731212.166667,360.166667,2.821693,5.582953,5.797573,5.999484 
27/12/2001  5:00,0.208333,731212.208333,360.208333,2.631744,5.543442,5.796528,5.999356 
27/12/2001  6:00,0.250000,731212.250000,360.250000,2.452489,5.502459,5.795276,5.999227 
27/12/2001  7:00,0.291667,731212.291667,360.291667,2.269340,5.460069,5.793812,5.999098 
27/12/2001  8:00,0.333333,731212.333333,360.333333,2.172394,5.416888,5.792133,5.998968 
27/12/2001  9:00,0.375000,731212.375000,360.375000,2.158790,5.374087,5.790239,5.998839 
27/12/2001 10:00,0.416667,731212.416667,360.416667,2.304362,5.333343,5.788141,5.998710 
27/12/2001 11:00,0.458333,731212.458333,360.458333,2.769719,5.297931,5.785859,5.998580 
27/12/2001 12:00,0.500000,731212.500000,360.500000,3.782487,5.273792,5.783440,5.998450 
27/12/2001 13:00,0.541667,731212.541667,360.541667,5.075365,5.266445,5.780958,5.998320 
27/12/2001 14:00,0.583333,731212.583333,360.583333,5.659841,5.272471,5.778494,5.998189 
27/12/2001 15:00,0.625000,731212.625000,360.625000,5.829050,5.283664,5.776095,5.998059 
27/12/2001 16:00,0.666667,731212.666667,360.666667,5.431885,5.293011,5.773770,5.997928 
27/12/2001 17:00,0.708333,731212.708333,360.708333,4.686530,5.294122,5.771493,5.997797 
27/12/2001 18:00,0.750000,731212.750000,360.750000,3.975580,5.284958,5.769218,5.997666 
27/12/2001 19:00,0.791667,731212.791667,360.791667,3.310965,5.266294,5.766893,5.997535 
27/12/2001 20:00,0.833333,731212.833333,360.833333,2.752150,5.239382,5.764476,5.997403 
27/12/2001 21:00,0.875000,731212.875000,360.875000,2.244955,5.205477,5.761932,5.997271 
27/12/2001 22:00,0.916667,731212.916667,360.916667,1.804797,5.165531,5.759231,5.997139 
27/12/2001 23:00,0.958333,731212.958333,360.958333,1.433365,5.120591,5.756350,5.997007 
28/12/2001  0:00,1.000000,731213.000000,361.000000,1.144530,5.071793,5.753276,5.996874 
28/12/2001  1:00,1.041667,731213.041667,361.041667,1.101034,5.021511,5.750002,5.996741 
28/12/2001  2:00,1.083333,731213.083333,361.083333,1.058574,4.971528,5.746538,5.996608 
28/12/2001  3:00,1.125000,731213.125000,361.125000,0.601290,4.918738,5.742890,5.996475 
28/12/2001  4:00,1.166667,731213.166667,361.166667,0.368601,4.861661,5.739062,5.996341 
28/12/2001  5:00,1.208333,731213.208333,361.208333,0.133859,4.801862,5.735061,5.996206 
28/12/2001  6:00,1.250000,731213.250000,361.250000,-0.000702,4.740102,5.730888,5.996072 
28/12/2001  7:00,1.291667,731213.291667,361.291667,-0.000737,4.678288,5.726530,5.995937 
28/12/2001  8:00,1.333333,731213.333333,361.333333,-0.000774,4.617689,5.721955,5.995801 
28/12/2001  9:00,1.375000,731213.375000,361.375000,-0.000802,4.558462,5.717152,5.995665 
28/12/2001 10:00,1.416667,731213.416667,361.416667,-0.000804,4.500768,5.712124,5.995529 
28/12/2001 11:00,1.458333,731213.458333,361.458333,-0.000762,4.444836,5.706872,5.995392 
28/12/2001 12:00,1.500000,731213.500000,361.500000,0.903685,4.397754,5.701418,5.995255 
28/12/2001 13:00,1.541667,731213.541667,361.541667,2.213119,4.369289,5.695822,5.995117 
28/12/2001 14:00,1.583333,731213.583333,361.583333,2.944525,4.357453,5.690160,5.994979 
28/12/2001 15:00,1.625000,731213.625000,361.625000,3.239472,4.353863,5.684489,5.994840 
28/12/2001 16:00,1.666667,731213.666667,361.666667,3.204585,4.352333,5.678830,5.994701 
28/12/2001 17:00,1.708333,731213.708333,361.708333,3.000136,4.348939,5.673184,5.994562 
28/12/2001 18:00,1.750000,731213.750000,361.750000,2.906826,4.343288,5.667542,5.994421 
28/12/2001 19:00,1.791667,731213.791667,361.791667,2.835155,4.336470,5.661896,5.994281 
28/12/2001 20:00,1.833333,731213.833333,361.833333,2.760226,4.328662,5.656242,5.994140 
28/12/2001 21:00,1.875000,731213.875000,361.875000,2.716516,4.320107,5.650576,5.993998 
28/12/2001 22:00,1.916667,731213.916667,361.916667,2.684738,4.311159,5.644895,5.993856 
28/12/2001 23:00,1.958333,731213.958333,361.958333,2.669717,4.302034,5.639199,5.993713 
29/12/2001  0:00,2.000000,731214.000000,362.000000,2.663087,4.292914,5.633487,5.993570 
