DATE[day/month/year hour:min],t[days],JDfrom0,JD,101 ,303 ,603 ,2553  
27/12/2001  0:00,0.000000,731212.000000,360.000000,4.700000,5.700000,5.800000,6.000000 
27/12/2001  1:00,0.041667,731212.041667,360.041667,3.982388,5.680607,5.799598,5.999871 
27/12/2001  2:00,0.083333,731212.083333,360.083333,3.459991,5.652603,5.799087,5.999742 
27/12/2001  3:00,0.125000,731212.125000,360.125000,3.143029,5.619335,5.798419,5.999613 
27/12/2001  4:00,0.166667,731212.166667,360.166667,2.804609,5.582306,5.797568,5.999484 
27/12/2001  5:00,0.208333,731212.208333,360.208333,2.614757,5.542561,5.796518,5.999356 
27/12/2001  6:00,0.250000,731212.250000,360.250000,2.435619,5.501353,5.795261,5.999227 
27/12/2001  7:00,0.291667,731212.291667,360.291667,2.252152,5.458747,5.793790,5.999098 
27/12/2001  8:00,0.333333,731212.333333,360.333333,2.153291,5.415358,5.792102,5.998968 
27/12/2001  9:00,0.375000,731212.375000,360.375000,2.140351,5.372434,5.790199,5.998839 
27/12/2001 10:00,0.416667,731212.416667,360.416667,2.284314,5.331550,5.788091,5.998710 
27/12/2001 11:00,0.458333,731212.458333,360.458333,2.755076,5.296007,5.785798,5.998580 
27/12/2001 12:00,0.500000,731212.500000,360.500000,3.776835,5.271808,5.783367,5.998450 
27/12/2001 13:00,0.541667,731212.541667,360.541667,5.077689,5.264481,5.780872,5.998320 
27/12/2001 14:00,0.583333,731212.583333,360.583333,5.663574,5.270555,5.778394,5.998190 
27/12/2001 15:00,0.625000,731212.625000,360.625000,5.830632,5.281771,5.775981,5.998059 
27/12/2001 16:00,0.666667,731212.666667,360.666667,5.429488,5.291094,5.773642,5.997928 
27/12/2001 17:00,0.708333,731212.708333,360.708333,4.679133,5.292137,5.771349,5.997797 
27/12/2001 18:00,0.750000,731212.750000,360.750000,3.963809,5.282874,5.769055,5.997666 
27/12/2001 19:00,0.791667,731212.791667,360.791667,3.295791,5.264098,5.766709,5.997535 
27/12/2001 20:00,0.833333,731212.833333,360.833333,2.734913,5.237085,5.764268,5.997403 
27/12/2001 21:00,0.875000,731212.875000,360.875000,2.226555,5.203116,5.761694,5.997271 
27/12/2001 22:00,0.916667,731212.916667,360.916667,1.786706,5.163170,5.758958,5.997139 
27/12/2001 23:00,0.958333,731212.958333,360.958333,1.417493,5.118333,5.756036,5.997007 
28/12/2001  0:00,1.000000,731213.000000,361.000000,1.131758,5.069774,5.752909,5.996875 
28/12/2001  1:00,1.041667,731213.041667,361.041667,1.090813,5.019871,5.749571,5.996742 
28/12/2001  2:00,1.083333,731213.083333,361.083333,1.051082,4.970405,5.746025,5.996609 
28/12/2001  3:00,1.125000,731213.125000,361.125000,0.602626,4.918409,5.742273,5.996475 
28/12/2001  4:00,1.166667,731213.166667,361.166667,0.375724,4.862542,5.738307,5.996341 
28/12/2001  5:00,1.208333,731213.208333,361.208333,0.145523,4.804412,5.734122,5.996207 
28/12/2001  6:00,1.250000,731213.250000,361.250000,-0.000707,4.744566,5.729721,5.996073 
28/12/2001  7:00,1.291667,731213.291667,361.291667,-0.000738,4.684586,5.725115,5.995938 
28/12/2001  8:00,1.333333,731213.333333,361.333333,-0.000771,4.625436,5.720324,5.995802 
28/12/2001  9:00,1.375000,731213.375000,361.375000,-0.000796,4.567077,5.715375,5.995666 
28/12/2001 10:00,1.416667,731213.416667,361.416667,-0.000797,4.509638,5.710283,5.995530 
28/12/2001 11:00,1.458333,731213.458333,361.458333,-0.000755,4.453502,5.705041,5.995393 
28/12/2001 12:00,1.500000,731213.500000,361.500000,0.960143,4.406364,5.699656,5.995256 
28/12/2001 13:00,1.541667,731213.541667,361.541667,2.279108,4.378353,5.694175,5.995118 
28/12/2001 14:00,1.583333,731213.583333,361.583333,3.011309,4.367203,5.688647,5.994979 
28/12/2001 15:00,1.625000,731213.625000,361.625000,3.303825,4.364382,5.683123,5.994841 
28/12/2001 16:00,1.666667,731213.666667,361.666667,3.264632,4.363583,5.677619,5.994701 
28/12/2001 17:00,1.708333,731213.708333,361.708333,3.054437,4.360797,5.672134,5.994562 
28/12/2001 18:00,1.750000,731213.750000,361.750000,2.959867,4.355652,5.666658,5.994421 
28/12/2001 19:00,1.791667,731213.791667,361.791667,2.886916,4.349290,5.661183,5.994281 
28/12/2001 20:00,1.833333,731213.833333,361.833333,2.808473,4.341876,5.655702,5.994139 
28/12/2001 21:00,1.875000,731213.875000,361.875000,2.763548,4.333659,5.650213,5.993998 
28/12/2001 22:00,1.916667,731213.916667,361.916667,2.730379,4.325015,5.644712,5.993855 
28/12/2001 23:00,1.958333,731213.958333,361.958333,2.713851,4.316164,5.639199,5.993713 
29/12/2001  0:00,2.000000,731214.000000,362.000000,2.705660,4.307292,5.633672,5.993570 
