DATE[day/month/year hour:min],t[days],JDfrom0,JD,101 ,303 ,603 ,2553  
27/12/2001  0:00,0.000000,731212.000000,360.000000,0.000000,0.000000,0.000000,0.000000 
27/12/2001  1:00,0.041667,731212.041667,360.041667,-18.294570,-6.762830,-30.430223,1337.862362 
27/12/2001  2:00,0.083333,731212.083333,360.083333,-24.385072,-5.065705,-43.564261,1730.317712 
27/12/2001  3:00,0.125000,731212.125000,360.125000,-28.614568,-3.328509,-47.823055,1848.341501 
27/12/2001  4:00,0.166667,731212.166667,360.166667,-32.775795,-1.973907,-48.515720,1884.265250 
27/12/2001  5:00,0.208333,731212.208333,360.208333,-37.466264,-0.879796,-47.981022,1895.717266 
27/12/2001  6:00,0.250000,731212.250000,360.250000,-41.988640,-0.106852,-46.943743,1899.967657 
27/12/2001  7:00,0.291667,731212.291667,360.291667,-46.973748,3.030306,-45.466246,1902.301100 
27/12/2001  8:00,0.333333,731212.333333,360.333333,-52.627697,-0.568630,-43.538812,1904.353040 
27/12/2001  9:00,0.375000,731212.375000,360.375000,-56.293775,-1.269731,-42.260614,1905.869920 
27/12/2001 10:00,0.416667,731212.416667,360.416667,-59.304672,-2.110071,-41.077882,1907.156008 
27/12/2001 11:00,0.458333,731212.458333,360.458333,-61.965707,-2.955784,-39.970599,1908.318293 
27/12/2001 12:00,0.500000,731212.500000,360.500000,-64.351468,-3.882851,-38.884517,1909.425365 
27/12/2001 13:00,0.541667,731212.541667,360.541667,-66.598038,-4.843725,-37.827966,1910.492763 
27/12/2001 14:00,0.583333,731212.583333,360.583333,-68.690500,-5.880821,-36.775971,1911.550752 
27/12/2001 15:00,0.625000,731212.625000,360.625000,-70.626659,-7.006901,-35.719232,1912.612337 
27/12/2001 16:00,0.666667,731212.666667,360.666667,-72.399193,-8.238696,-34.650712,1913.683051 
27/12/2001 17:00,0.708333,731212.708333,360.708333,-74.037424,-9.593630,-33.565214,1914.764512 
27/12/2001 18:00,0.750000,731212.750000,360.750000,-75.543244,-11.088503,-32.456730,1915.865225 
27/12/2001 19:00,0.791667,731212.791667,360.791667,-76.933974,-12.745603,-31.319126,1916.992067 
27/12/2001 20:00,0.833333,731212.833333,360.833333,-78.220260,-14.593721,-30.145983,1918.151613 
27/12/2001 21:00,0.875000,731212.875000,360.875000,-79.422734,-16.671375,-28.930385,1919.350695 
27/12/2001 22:00,0.916667,731212.916667,360.916667,-80.556550,-19.029349,-27.664675,1920.596741 
27/12/2001 23:00,0.958333,731212.958333,360.958333,-81.640278,-21.735659,-26.340142,1921.898105 
28/12/2001  0:00,1.000000,731213.000000,361.000000,-82.357819,-24.882059,-24.946622,1923.264451 
28/12/2001  1:00,1.041667,731213.041667,361.041667,-83.348917,-28.593554,-23.471958,1924.707248 
28/12/2001  2:00,1.083333,731213.083333,361.083333,-84.237625,-33.057675,-21.901334,1926.240410 
28/12/2001  3:00,1.125000,731213.125000,361.125000,-85.197265,-38.551548,-20.216316,1927.881191 
28/12/2001  4:00,1.166667,731213.166667,361.166667,-86.163710,-45.490937,-18.393574,1929.651419 
28/12/2001  5:00,1.208333,731213.208333,361.208333,-87.143595,-54.537904,-16.403331,1931.577350 
28/12/2001  6:00,1.250000,731213.250000,361.250000,-89.055850,-66.810951,-14.207825,1933.693272 
28/12/2001  7:00,1.291667,731213.291667,361.291667,-92.836908,-84.251044,-11.755188,1936.152489 
28/12/2001  8:00,1.333333,731213.333333,361.333333,-96.962025,-109.999678,-8.997258,1938.900019 
28/12/2001  9:00,1.375000,731213.375000,361.375000,-100.073937,-144.366148,-6.199664,1941.727937 
28/12/2001 10:00,1.416667,731213.416667,361.416667,-100.314066,-178.763704,-3.879679,1944.232105 
28/12/2001 11:00,1.458333,731213.458333,361.458333,-95.432571,-208.931781,-1.866167,1946.415389 
28/12/2001 12:00,1.500000,731213.500000,361.500000,-94.980134,-232.522955,0.682473,1948.863386 
28/12/2001 13:00,1.541667,731213.541667,361.541667,-96.783985,-241.585303,27.592926,1968.262147 
28/12/2001 14:00,1.583333,731213.583333,361.583333,-98.585174,-244.989649,36.840427,1980.552072 
28/12/2001 15:00,1.625000,731213.625000,361.625000,-100.344466,-245.462647,42.913720,1988.492125 
28/12/2001 16:00,1.666667,731213.666667,361.666667,-102.041611,-244.471909,47.449924,1994.049570 
28/12/2001 17:00,1.708333,731213.708333,361.708333,-103.679566,-242.796040,51.102170,1998.272061 
28/12/2001 18:00,1.750000,731213.750000,361.750000,-105.244377,-240.811630,54.226227,2001.724223 
28/12/2001 19:00,1.791667,731213.791667,361.791667,-106.756523,-238.716458,57.012561,2004.708827 
28/12/2001 20:00,1.833333,731213.833333,361.833333,-108.219288,-236.612170,59.565344,2007.389682 
28/12/2001 21:00,1.875000,731213.875000,361.875000,-109.636906,-234.544338,61.945470,2009.858594 
28/12/2001 22:00,1.916667,731213.916667,361.916667,-110.032001,-232.526494,64.192892,2012.171081 
28/12/2001 23:00,1.958333,731213.958333,361.958333,-109.430083,-230.507390,66.359742,2014.380176 
29/12/2001  0:00,2.000000,731214.000000,362.000000,-106.920499,-228.435270,68.498172,2016.538184 
