DATE[day/month/year hour:min],t[days],JDfrom0,JD,101 ,303 ,603 ,2553  
27/12/2001  0:00,0.000000,731212.000000,360.000000,0.000000,0.000000,0.000000,0.000000 
27/12/2001  1:00,0.041667,731212.041667,360.041667,-18.295812,-6.757899,-30.298777,1339.905679 
27/12/2001  2:00,0.083333,731212.083333,360.083333,-24.391570,-5.076609,-43.176611,1733.189761 
27/12/2001  3:00,0.125000,731212.125000,360.125000,-28.623019,-3.360253,-47.151153,1851.660568 
27/12/2001  4:00,0.166667,731212.166667,360.166667,-32.782399,-2.035154,-47.575157,1887.904077 
27/12/2001  5:00,0.208333,731212.208333,360.208333,-37.460498,-1.003311,-46.786206,1899.627214 
27/12/2001  6:00,0.250000,731212.250000,360.250000,-41.919408,-0.374433,-45.523604,1904.114153 
27/12/2001  7:00,0.291667,731212.291667,360.291667,-46.464025,-0.260084,-43.994020,1906.554580 
27/12/2001  8:00,0.333333,731212.333333,360.333333,-50.307913,-0.670310,-42.381242,1908.421955 
27/12/2001  9:00,0.375000,731212.375000,360.375000,-53.999727,-1.325593,-40.891270,1910.026538 
27/12/2001 10:00,0.416667,731212.416667,360.416667,-57.084174,-2.177651,-39.472417,1911.500434 
27/12/2001 11:00,0.458333,731212.458333,360.458333,-59.816623,-3.074116,-38.129321,1912.881003 
27/12/2001 12:00,0.500000,731212.500000,360.500000,-62.260358,-4.086217,-36.797185,1914.222761 
27/12/2001 13:00,0.541667,731212.541667,360.541667,-64.555370,-5.162553,-35.494368,1915.529973 
27/12/2001 14:00,0.583333,731212.583333,360.583333,-66.686185,-6.352864,-34.188479,1916.834297 
27/12/2001 15:00,0.625000,731212.625000,360.625000,-68.651973,-7.677470,-32.868056,1918.150898 
27/12/2001 16:00,0.666667,731212.666667,360.666667,-70.447159,-9.164240,-31.523439,1919.487727 
27/12/2001 17:00,0.708333,731212.708333,360.708333,-72.102129,-10.846112,-30.146165,1920.849545 
27/12/2001 18:00,0.750000,731212.750000,360.750000,-73.621154,-12.761568,-28.726316,1922.248372 
27/12/2001 19:00,0.791667,731212.791667,360.791667,-75.023823,-14.963967,-27.252886,1923.695506 
27/12/2001 20:00,0.833333,731212.833333,360.833333,-76.323243,-17.527322,-25.713219,1925.203156 
27/12/2001 21:00,0.875000,731212.875000,360.875000,-77.542345,-20.557728,-24.092219,1926.785496 
27/12/2001 22:00,0.916667,731212.916667,360.916667,-78.699133,-24.209889,-22.371209,1928.459773 
27/12/2001 23:00,0.958333,731212.958333,360.958333,-79.815799,-28.717484,-20.526223,1930.247829 
28/12/2001  0:00,1.000000,731213.000000,361.000000,-80.572581,-34.447675,-18.525295,1932.178448 
28/12/2001  1:00,1.041667,731213.041667,361.041667,-81.636874,-42.005296,-16.323947,1934.291188 
28/12/2001  2:00,1.083333,731213.083333,361.083333,-82.638941,-52.478970,-13.857474,1936.642926 
28/12/2001  3:00,1.125000,731213.125000,361.125000,-83.763329,-67.912621,-11.026114,1939.319703 
28/12/2001  4:00,1.166667,731213.166667,361.166667,-84.991171,-92.436516,-7.662592,1942.462582 
28/12/2001  5:00,1.208333,731213.208333,361.208333,-86.350404,-124.159720,-4.285048,1945.819077 
28/12/2001  6:00,1.250000,731213.250000,361.250000,-87.772517,-157.550185,-0.855579,1949.264064 
28/12/2001  7:00,1.291667,731213.291667,361.291667,-89.075829,-176.707618,52.009449,1986.965894 
28/12/2001  8:00,1.333333,731213.333333,361.333333,-90.224879,-186.608206,76.550854,2015.341323 
28/12/2001  9:00,1.375000,731213.375000,361.375000,-91.255247,-191.205596,89.032414,2032.577410 
28/12/2001 10:00,1.416667,731213.416667,361.416667,-92.309603,-192.481225,97.187044,2043.465942 
28/12/2001 11:00,1.458333,731213.458333,361.458333,-93.630883,-191.379548,103.254236,2050.980777 
28/12/2001 12:00,1.500000,731213.500000,361.500000,-95.113846,-189.053885,108.196101,2056.689291 
28/12/2001 13:00,1.541667,731213.541667,361.541667,-96.625385,-186.269886,112.473102,2061.411164 
28/12/2001 14:00,1.583333,731213.583333,361.583333,-98.110619,-183.296807,116.375595,2065.572267 
28/12/2001 15:00,1.625000,731213.625000,361.625000,-99.550099,-180.289539,119.995177,2069.359224 
28/12/2001 16:00,1.666667,731213.666667,361.666667,-100.934106,-177.332527,123.383209,2072.866412 
28/12/2001 17:00,1.708333,731213.708333,361.708333,-102.269151,-174.463320,126.575109,2076.149304 
28/12/2001 18:00,1.750000,731213.750000,361.750000,-103.542883,-171.682233,129.607417,2079.252248 
28/12/2001 19:00,1.791667,731213.791667,361.791667,-104.773678,-168.989970,132.503478,2082.205373 
28/12/2001 20:00,1.833333,731213.833333,361.833333,-105.964338,-166.385913,135.279444,2085.029280 
28/12/2001 21:00,1.875000,731213.875000,361.875000,-107.118179,-163.865503,137.948239,2087.739325 
28/12/2001 22:00,1.916667,731213.916667,361.916667,-107.278644,-161.418825,140.522561,2090.349063 
28/12/2001 23:00,1.958333,731213.958333,361.958333,-106.470890,-159.006393,143.028049,2092.880492 
29/12/2001  0:00,2.000000,731214.000000,362.000000,-103.807763,-156.590502,145.494301,2095.360908 
