DATE[day/month/year hour:min],t[days],JDfrom0,JD,101 ,303 ,603 ,2553  
27/12/2001  0:00,0.000000,731212.000000,360.000000,0.498511,0.500000,0.500000,0.500000 
27/12/2001  1:00,0.041667,731212.041667,360.041667,0.473829,0.482904,0.403965,0.500000 
27/12/2001  2:00,0.083333,731212.083333,360.083333,0.464697,0.487887,0.373457,0.500000 
27/12/2001  3:00,0.125000,731212.125000,360.125000,0.458541,0.492770,0.365131,0.500000 
27/12/2001  4:00,0.166667,731212.166667,360.166667,0.452678,0.496256,0.363838,0.500000 
27/12/2001  5:00,0.208333,731212.208333,360.208333,0.446319,0.498672,0.364835,0.500000 
27/12/2001  6:00,0.250000,731212.250000,360.250000,0.440446,0.499914,0.366796,0.500000 
27/12/2001  7:00,0.291667,731212.291667,360.291667,0.434265,0.500000,0.369656,0.500000 
27/12/2001  8:00,0.333333,731212.333333,360.333333,0.427616,0.499244,0.373509,0.500000 
27/12/2001  9:00,0.375000,731212.375000,360.375000,0.423502,0.497870,0.376143,0.500000 
27/12/2001 10:00,0.416667,731212.416667,360.416667,0.420233,0.495925,0.378639,0.500000 
27/12/2001 11:00,0.458333,731212.458333,360.458333,0.417425,0.493767,0.381029,0.500000 
27/12/2001 12:00,0.500000,731212.500000,360.500000,0.414969,0.491248,0.383424,0.500000 
27/12/2001 13:00,0.541667,731212.541667,360.541667,0.412708,0.488527,0.385804,0.500000 
27/12/2001 14:00,0.583333,731212.583333,360.583333,0.410646,0.485509,0.388224,0.500000 
27/12/2001 15:00,0.625000,731212.625000,360.625000,0.408775,0.482179,0.390707,0.500000 
27/12/2001 16:00,0.666667,731212.666667,360.666667,0.407092,0.478510,0.393271,0.500000 
27/12/2001 17:00,0.708333,731212.708333,360.708333,0.405562,0.474477,0.395934,0.500000 
27/12/2001 18:00,0.750000,731212.750000,360.750000,0.404176,0.470066,0.398715,0.500000 
27/12/2001 19:00,0.791667,731212.791667,360.791667,0.402913,0.465254,0.401635,0.500000 
27/12/2001 20:00,0.833333,731212.833333,360.833333,0.401760,0.460012,0.404719,0.500000 
27/12/2001 21:00,0.875000,731212.875000,360.875000,0.400694,0.454299,0.407993,0.500000 
27/12/2001 22:00,0.916667,731212.916667,360.916667,0.399700,0.448064,0.411489,0.500000 
27/12/2001 23:00,0.958333,731212.958333,360.958333,0.398759,0.441242,0.415246,0.500000 
28/12/2001  0:00,1.000000,731213.000000,361.000000,0.398142,0.433753,0.419309,0.500000 
28/12/2001  1:00,1.041667,731213.041667,361.041667,0.397295,0.425503,0.423733,0.500000 
28/12/2001  2:00,1.083333,731213.083333,361.083333,0.396543,0.416354,0.428587,0.500000 
28/12/2001  3:00,1.125000,731213.125000,361.125000,0.395737,0.406130,0.433959,0.500000 
28/12/2001  4:00,1.166667,731213.166667,361.166667,0.394932,0.394622,0.439958,0.500000 
28/12/2001  5:00,1.208333,731213.208333,361.208333,0.394123,0.381563,0.446720,0.500000 
28/12/2001  6:00,1.250000,731213.250000,361.250000,0.392565,0.366597,0.454410,0.500000 
28/12/2001  7:00,1.291667,731213.291667,361.291667,0.389561,0.349324,0.463224,0.500000 
28/12/2001  8:00,1.333333,731213.333333,361.333333,0.386393,0.329604,0.473260,0.500000 
28/12/2001  9:00,1.375000,731213.375000,361.375000,0.384076,0.310010,0.483251,0.500000 
28/12/2001 10:00,1.416667,731213.416667,361.416667,0.383900,0.295148,0.490955,0.500000 
28/12/2001 11:00,1.458333,731213.458333,361.458333,0.387555,0.284662,0.496658,0.500000 
28/12/2001 12:00,1.500000,731213.500000,361.500000,0.387901,0.277658,0.500000,0.500000 
28/12/2001 13:00,1.541667,731213.541667,361.541667,0.386528,0.275193,0.500000,0.500000 
28/12/2001 14:00,1.583333,731213.583333,361.583333,0.385177,0.274296,0.500000,0.500000 
28/12/2001 15:00,1.625000,731213.625000,361.625000,0.383878,0.274173,0.500000,0.500000 
28/12/2001 16:00,1.666667,731213.666667,361.666667,0.382642,0.274431,0.500000,0.500000 
28/12/2001 17:00,1.708333,731213.708333,361.708333,0.381466,0.274872,0.500000,0.500000 
28/12/2001 18:00,1.750000,731213.750000,361.750000,0.380357,0.275399,0.500000,0.500000 
28/12/2001 19:00,1.791667,731213.791667,361.791667,0.379299,0.275961,0.500000,0.500000 
28/12/2001 20:00,1.833333,731213.833333,361.833333,0.378288,0.276531,0.500000,0.500000 
28/12/2001 21:00,1.875000,731213.875000,361.875000,0.377319,0.277098,0.500000,0.500000 
28/12/2001 22:00,1.916667,731213.916667,361.916667,0.377051,0.277657,0.500000,0.500000 
28/12/2001 23:00,1.958333,731213.958333,361.958333,0.377460,0.278222,0.500000,0.500000 
29/12/2001  0:00,2.000000,731214.000000,362.000000,0.379185,0.278808,0.500000,0.500000 
