DATE[day/month/year hour:min],t[days],JDfrom0,JD,101 ,303 ,603 ,2553  
27/12/2001  0:00,0.000000,731212.000000,360.000000,0.498511,0.500000,0.500000,0.500000 
27/12/2001  1:00,0.041667,731212.041667,360.041667,0.473834,0.482923,0.404335,0.500000 
27/12/2001  2:00,0.083333,731212.083333,360.083333,0.464702,0.487849,0.374275,0.500000 
27/12/2001  3:00,0.125000,731212.125000,360.125000,0.458548,0.492672,0.366424,0.500000 
27/12/2001  4:00,0.166667,731212.166667,360.166667,0.452692,0.496093,0.365615,0.500000 
27/12/2001  5:00,0.208333,731212.208333,360.208333,0.446354,0.498409,0.367108,0.500000 
27/12/2001  6:00,0.250000,731212.250000,360.250000,0.440569,0.499542,0.369546,0.500000 
27/12/2001  7:00,0.291667,731212.291667,360.291667,0.434938,0.499709,0.372573,0.500000 
27/12/2001  8:00,0.333333,731212.333333,360.333333,0.430377,0.499053,0.375860,0.500000 
27/12/2001  9:00,0.375000,731212.375000,360.375000,0.426141,0.497744,0.378997,0.500000 
27/12/2001 10:00,0.416667,731212.416667,360.416667,0.422714,0.495764,0.382072,0.500000 
27/12/2001 11:00,0.458333,731212.458333,360.458333,0.419764,0.493466,0.385065,0.500000 
27/12/2001 12:00,0.500000,731212.500000,360.500000,0.417190,0.490703,0.388113,0.500000 
27/12/2001 13:00,0.541667,731212.541667,360.541667,0.414828,0.487639,0.391173,0.500000 
27/12/2001 14:00,0.583333,731212.583333,360.583333,0.412681,0.484162,0.394323,0.500000 
27/12/2001 15:00,0.625000,731212.625000,360.625000,0.410740,0.480239,0.397594,0.500000 
27/12/2001 16:00,0.666667,731212.666667,360.666667,0.409001,0.475823,0.401016,0.500000 
27/12/2001 17:00,0.708333,731212.708333,360.708333,0.407423,0.470863,0.404620,0.500000 
27/12/2001 18:00,0.750000,731212.750000,360.750000,0.405998,0.465311,0.408444,0.500000 
27/12/2001 19:00,0.791667,731212.791667,360.791667,0.404699,0.459102,0.412530,0.500000 
27/12/2001 20:00,0.833333,731212.833333,360.833333,0.403512,0.452151,0.416933,0.500000 
27/12/2001 21:00,0.875000,731212.875000,360.875000,0.402412,0.444341,0.421716,0.500000 
27/12/2001 22:00,0.916667,731212.916667,360.916667,0.401379,0.435521,0.426965,0.500000 
27/12/2001 23:00,0.958333,731212.958333,360.958333,0.400393,0.425487,0.432786,0.500000 
28/12/2001  0:00,1.000000,731213.000000,361.000000,0.399708,0.413965,0.439323,0.500000 
28/12/2001  1:00,1.041667,731213.041667,361.041667,0.398785,0.400586,0.446770,0.500000 
28/12/2001  2:00,1.083333,731213.083333,361.083333,0.397929,0.384812,0.455396,0.500000 
28/12/2001  3:00,1.125000,731213.125000,361.125000,0.396973,0.365937,0.465565,0.500000 
28/12/2001  4:00,1.166667,731213.166667,361.166667,0.395941,0.343119,0.477715,0.500000 
28/12/2001  5:00,1.208333,731213.208333,361.208333,0.394811,0.321362,0.489369,0.500000 
28/12/2001  6:00,1.250000,731213.250000,361.250000,0.392884,0.304315,0.498626,0.500000 
28/12/2001  7:00,1.291667,731213.291667,361.291667,0.389535,0.296113,0.500000,0.500000 
28/12/2001  8:00,1.333333,731213.333333,361.333333,0.386127,0.292283,0.500000,0.500000 
28/12/2001  9:00,1.375000,731213.375000,361.375000,0.383650,0.290554,0.500000,0.500000 
28/12/2001 10:00,1.416667,731213.416667,361.416667,0.383460,0.290058,0.500000,0.500000 
28/12/2001 11:00,1.458333,731213.458333,361.458333,0.387258,0.290432,0.500000,0.500000 
28/12/2001 12:00,1.500000,731213.500000,361.500000,0.387749,0.291245,0.500000,0.500000 
28/12/2001 13:00,1.541667,731213.541667,361.541667,0.386593,0.292252,0.500000,0.500000 
28/12/2001 14:00,1.583333,731213.583333,361.583333,0.385472,0.293358,0.500000,0.500000 
28/12/2001 15:00,1.625000,731213.625000,361.625000,0.384400,0.294506,0.500000,0.500000 
28/12/2001 16:00,1.666667,731213.666667,361.666667,0.383382,0.295662,0.500000,0.500000 
28/12/2001 17:00,1.708333,731213.708333,361.708333,0.382412,0.296809,0.500000,0.500000 
28/12/2001 18:00,1.750000,731213.750000,361.750000,0.381498,0.297947,0.500000,0.500000 
28/12/2001 19:00,1.791667,731213.791667,361.791667,0.380624,0.299072,0.500000,0.500000 
28/12/2001 20:00,1.833333,731213.833333,361.833333,0.379787,0.300184,0.500000,0.500000 
28/12/2001 21:00,1.875000,731213.875000,361.875000,0.378985,0.301282,0.500000,0.500000 
28/12/2001 22:00,1.916667,731213.916667,361.916667,0.378875,0.302369,0.500000,0.500000 
28/12/2001 23:00,1.958333,731213.958333,361.958333,0.379438,0.303462,0.500000,0.500000 
29/12/2001  0:00,2.000000,731214.000000,362.000000,0.381317,0.304578,0.500000,0.500000 
