Data,AirT,WindS,WindDir,RelHum,SWglobal,Iprec
01-01-2006 1:00,7.4,7.8,325,81,0.5,1.2
01-01-2006 2:00,7.5,8.1,324,77,-1.2,0.8
01-01-2006 3:00,7.2,6.8,325,78,-0.8,0.2
01-01-2006 4:00,6.7,6.2,319,81,-0.7,0
01-01-2006 5:00,7.0,7.1,320,74,0.4,0
01-01-2006 6:00,6.6,6.4,329,76,-0.6,0
01-01-2006 7:00,6.8,7.6,332,74,0.5,0
01-01-2006 8:00,6.5,6.7,337,75,-0.5,0
01-01-2006 9:00,7.0,6.8,335,73,-2.1,0
01-01-2006 10:00,7.2,5.9,338,73,-0.1,0
01-01-2006 11:00,7.4,5.5,339,75,21.1,0
01-01-2006 12:00,7.7,4.5,347,73,66.2,0
01-01-2006 13:00,7.9,5.8,346,75,79.2,0
01-01-2006 14:00,8.5,6.5,343,71,86.8,0
01-01-2006 15:00,8.1,5.6,343,79,32.9,0
01-01-2006 16:00,8.9,5.1,334,71,60.4,0
01-01-2006 17:00,8.8,5.1,317,72,39.0,0
01-01-2006 18:00,8.3,3.1,298,80,-3.4,0
01-01-2006 19:00,8.4,1.8,292,77,-7.5,0
01-01-2006 20:00,8.8,3.6,312,77,-6.4,0
01-01-2006 21:00,8.5,1.2,308,80,-8.8,0
01-01-2006 22:00,8.3,2.6,337,88,-5.5,0
01-01-2006 23:00,8.3,3.2,331,90,-7.0,0
02-01-2006 0:00,8.0,1.0,286,92,-9.4,0.2
02-01-2006 1:00,8.0,0.2,308,92,-8.4,0
02-01-2006 2:00,8.0,2.6,281,88,-7.2,0
02-01-2006 3:00,8.0,3.2,246,91,-6.3,0
02-01-2006 4:00,7.8,4.1,243,92,-6.6,0.6
02-01-2006 5:00,7.7,3.9,227,92,-7.8,0
02-01-2006 6:00,7.8,3.2,232,92,-6.5,0
02-01-2006 7:00,8.1,2.3,274,93,-6.3,0
02-01-2006 8:00,8.1,3.0,270,93,-5.7,0.2
02-01-2006 9:00,8.1,1.0,266,94,-8.4,0
02-01-2006 10:00,8.4,2.8,242,94,-1.8,0
02-01-2006 11:00,8.9,3.0,250,93,15.7,0
02-01-2006 12:00,8.5,3.1,229,95,46.3,0
02-01-2006 13:00,9.4,5.0,217,94,89.2,0
02-01-2006 14:00,9.8,4.7,210,93,89.7,0
02-01-2006 15:00,10.3,7.5,227,94,127.7,0
02-01-2006 16:00,10.1,6.5,231,95,69.9,0
02-01-2006 17:00,10.1,5.9,221,96,24.0,0
02-01-2006 18:00,10.6,3.6,208,96,-1.4,0
02-01-2006 19:00,10.9,5.4,226,96,-1.3,0
02-01-2006 20:00,10.9,5.9,224,95,-1.3,0
02-01-2006 21:00,10.9,6.9,222,96,-1.4,0
02-01-2006 22:00,10.9,7.5,230,96,-1.4,0
02-01-2006 23:00,10.9,7.5,225,95,-1.4,0
03-01-2006 0:00,10.8,6.0,229,96,-1.4,0
03-01-2006 1:00,10.9,5.6,221,96,-1.7,0
