DATE[day/month/year hour:min],t[days],JDfrom0,JD,Q_tot[m3/s]
2/1/2006  2:00,0.083333,732679.083333,1.083333,0.034503
2/1/2006  4:00,0.166667,732679.166667,1.166667,0.021277
2/1/2006  6:00,0.250000,732679.250000,1.250000,0.000350
2/1/2006  8:00,0.333333,732679.333333,1.333333,0.000069
2/1/2006 10:00,0.416667,732679.416667,1.416667,0.000058
2/1/2006 12:00,0.500000,732679.500000,1.500000,0.000055
2/1/2006 14:00,0.583333,732679.583333,1.583333,0.000053
2/1/2006 16:00,0.666667,732679.666667,1.666667,0.000052
2/1/2006 18:00,0.750000,732679.750000,1.750000,0.000051
2/1/2006 20:00,0.833333,732679.833333,1.833333,0.000050
2/1/2006 22:00,0.916667,732679.916667,1.916667,0.000049
3/1/2006  0:00,1.000000,732680.000000,2.000000,0.000049
3/1/2006  2:00,1.083333,732680.083333,2.083333,0.000048
3/1/2006  4:00,1.166667,732680.166667,2.166667,0.000048
3/1/2006  6:00,1.250000,732680.250000,2.250000,0.000047
3/1/2006  8:00,1.333333,732680.333333,2.333333,0.000047
3/1/2006 10:00,1.416667,732680.416667,2.416667,0.000047
3/1/2006 12:00,1.500000,732680.500000,2.500000,0.000046
3/1/2006 14:00,1.583333,732680.583333,2.583333,0.000046
3/1/2006 16:00,1.666667,732680.666667,2.666667,0.000046
3/1/2006 18:00,1.750000,732680.750000,2.750000,0.000045
3/1/2006 20:00,1.833333,732680.833333,2.833333,0.000045
3/1/2006 22:00,1.916667,732680.916667,2.916667,0.000045
4/1/2006  0:00,2.000000,732681.000000,3.000000,0.000044
4/1/2006  2:00,2.083333,732681.083333,3.083333,0.000044
4/1/2006  4:00,2.166667,732681.166667,3.166667,0.035369
4/1/2006  6:00,2.250000,732681.250000,3.250000,0.067861
4/1/2006  8:00,2.333333,732681.333333,3.333333,0.066804
4/1/2006 10:00,2.416667,732681.416667,3.416667,0.016070
4/1/2006 12:00,2.500000,732681.500000,3.500000,0.004570
4/1/2006 14:00,2.583333,732681.583333,3.583333,0.002364
4/1/2006 16:00,2.666667,732681.666667,3.666667,0.002139
4/1/2006 18:00,2.750000,732681.750000,3.750000,0.001960
4/1/2006 20:00,2.833333,732681.833333,3.833333,0.001825
4/1/2006 22:00,2.916667,732681.916667,3.916667,0.001723
5/1/2006  0:00,3.000000,732682.000000,4.000000,0.041349
5/1/2006  2:00,3.083333,732682.083333,4.083333,0.020269
5/1/2006  4:00,3.166667,732682.166667,4.166667,0.004386
5/1/2006  6:00,3.250000,732682.250000,4.250000,0.002773
5/1/2006  8:00,3.333333,732682.333333,4.333333,0.002590
5/1/2006 10:00,3.416667,732682.416667,4.416667,0.002376
5/1/2006 12:00,3.500000,732682.500000,4.500000,0.002250
5/1/2006 14:00,3.583333,732682.583333,4.583333,0.002132
5/1/2006 16:00,3.666667,732682.666667,4.666667,0.002036
5/1/2006 18:00,3.750000,732682.750000,4.750000,0.001951
5/1/2006 20:00,3.833333,732682.833333,4.833333,0.001871
5/1/2006 22:00,3.916667,732682.916667,4.916667,0.001805
6/1/2006  0:00,4.000000,732683.000000,5.000000,0.001740
6/1/2006  2:00,4.083333,732683.083333,5.083333,0.001686
6/1/2006  4:00,4.166667,732683.166667,5.166667,0.001636
6/1/2006  6:00,4.250000,732683.250000,5.250000,0.001590
6/1/2006  8:00,4.333333,732683.333333,5.333333,0.001548
6/1/2006 10:00,4.416667,732683.416667,5.416667,0.042833
6/1/2006 12:00,4.500000,732683.500000,5.500000,0.021586
6/1/2006 14:00,4.583333,732683.583333,5.583333,0.171279
6/1/2006 16:00,4.666667,732683.666667,5.666667,0.375879
6/1/2006 18:00,4.750000,732683.750000,5.750000,0.658163
6/1/2006 20:00,4.833333,732683.833333,5.833333,0.975721
6/1/2006 22:00,4.916667,732683.916667,5.916667,0.456389
7/1/2006  0:00,5.000000,732684.000000,6.000000,0.304402
7/1/2006  2:00,5.083333,732684.083333,6.083333,0.285011
7/1/2006  4:00,5.166667,732684.166667,6.166667,0.193289
7/1/2006  6:00,5.250000,732684.250000,6.250000,0.165942
7/1/2006  8:00,5.333333,732684.333333,6.333333,0.154830
7/1/2006 10:00,5.416667,732684.416667,6.416667,0.149008
7/1/2006 12:00,5.500000,732684.500000,6.500000,0.145936
7/1/2006 14:00,5.583333,732684.583333,6.583333,0.144266
7/1/2006 16:00,5.666667,732684.666667,6.666667,0.143082
7/1/2006 18:00,5.750000,732684.750000,6.750000,0.141963
7/1/2006 20:00,5.833333,732684.833333,6.833333,0.213960
7/1/2006 22:00,5.916667,732684.916667,6.916667,0.173163
8/1/2006  0:00,6.000000,732685.000000,7.000000,0.157032
8/1/2006  2:00,6.083333,732685.083333,7.083333,0.155392
8/1/2006  4:00,6.166667,732685.166667,7.166667,0.156296
8/1/2006  6:00,6.250000,732685.250000,7.250000,0.158798
8/1/2006  8:00,6.333333,732685.333333,7.333333,0.162665
8/1/2006 10:00,6.416667,732685.416667,7.416667,0.167336
8/1/2006 12:00,6.500000,732685.500000,7.500000,0.172392
8/1/2006 14:00,6.583333,732685.583333,7.583333,0.178228
8/1/2006 16:00,6.666667,732685.666667,7.666667,0.184955
8/1/2006 18:00,6.750000,732685.750000,7.750000,0.192328
8/1/2006 20:00,6.833333,732685.833333,7.833333,0.200106
8/1/2006 22:00,6.916667,732685.916667,7.916667,0.207627
9/1/2006  0:00,7.000000,732686.000000,8.000000,0.215047
9/1/2006  2:00,7.083333,732686.083333,8.083333,0.222293
9/1/2006  4:00,7.166667,732686.166667,8.166667,0.229152
9/1/2006  6:00,7.250000,732686.250000,8.250000,0.235268
9/1/2006  8:00,7.333333,732686.333333,8.333333,0.240313
9/1/2006 10:00,7.416667,732686.416667,8.416667,0.243946
9/1/2006 12:00,7.500000,732686.500000,8.500000,0.246101
9/1/2006 14:00,7.583333,732686.583333,8.583333,0.247321
9/1/2006 16:00,7.666667,732686.666667,8.666667,0.247957
9/1/2006 18:00,7.750000,732686.750000,8.750000,0.244925
9/1/2006 20:00,7.833333,732686.833333,8.833333,0.253711
9/1/2006 22:00,7.916667,732686.916667,8.916667,0.245112
10/1/2006  0:00,8.000000,732687.000000,9.000000,0.252581
