DATE[day/month/year hour:min],t[days],JDfrom0,JD,50 ,150 ,250 ,350  
2/1/2006  0:00,0.000000,732679.000000,1.000000,-490.000000,-490.000000,-490.000000,-490.000000 
2/1/2006  2:00,0.083333,732679.083333,1.083333,-413.195312,-489.999969,-490.000000,-489.999959 
2/1/2006  4:00,0.166667,732679.166667,1.166667,-413.195383,-489.999923,-490.000000,-489.999919 
2/1/2006  6:00,0.250000,732679.250000,1.250000,-413.195455,-489.999878,-490.000000,-489.999878 
2/1/2006  8:00,0.333333,732679.333333,1.333333,-413.195526,-489.999832,-490.000000,-489.999837 
2/1/2006 10:00,0.416667,732679.416667,1.416667,-413.195597,-489.999787,-490.000000,-489.999796 
2/1/2006 12:00,0.500000,732679.500000,1.500000,-413.195668,-489.999742,-490.000000,-489.999756 
2/1/2006 14:00,0.583333,732679.583333,1.583333,-413.195740,-489.999696,-490.000000,-489.999715 
2/1/2006 16:00,0.666667,732679.666667,1.666667,-413.195811,-489.999651,-490.000000,-489.999674 
2/1/2006 18:00,0.750000,732679.750000,1.750000,-413.195882,-489.999605,-490.000000,-489.999634 
2/1/2006 20:00,0.833333,732679.833333,1.833333,-413.195953,-489.999560,-490.000000,-489.999593 
2/1/2006 22:00,0.916667,732679.916667,1.916667,-413.196025,-489.999515,-490.000000,-489.999552 
3/1/2006  0:00,1.000000,732680.000000,2.000000,-413.196096,-489.999469,-490.000000,-489.999511 
3/1/2006  2:00,1.083333,732680.083333,2.083333,-413.196167,-489.999424,-490.000000,-489.999471 
3/1/2006  4:00,1.166667,732680.166667,2.166667,-413.196238,-489.999378,-490.000000,-489.999430 
3/1/2006  6:00,1.250000,732680.250000,2.250000,-413.196310,-489.999333,-490.000000,-489.999389 
3/1/2006  8:00,1.333333,732680.333333,2.333333,-413.196381,-489.999288,-490.000000,-489.999349 
3/1/2006 10:00,1.416667,732680.416667,2.416667,-413.196452,-489.999242,-490.000000,-489.999308 
3/1/2006 12:00,1.500000,732680.500000,2.500000,-413.196523,-489.999197,-490.000000,-489.999267 
3/1/2006 14:00,1.583333,732680.583333,2.583333,-413.196595,-489.999151,-490.000000,-489.999226 
3/1/2006 16:00,1.666667,732680.666667,2.666667,-413.196666,-489.999106,-490.000000,-489.999186 
3/1/2006 18:00,1.750000,732680.750000,2.750000,-413.196737,-489.999060,-490.000000,-489.999145 
3/1/2006 20:00,1.833333,732680.833333,2.833333,-413.196808,-489.999015,-490.000000,-489.999104 
3/1/2006 22:00,1.916667,732680.916667,2.916667,-413.196880,-489.998970,-490.000000,-489.999064 
4/1/2006  0:00,2.000000,732681.000000,3.000000,-413.196951,-489.998924,-490.000000,-489.999023 
4/1/2006  2:00,2.083333,732681.083333,3.083333,-413.197022,-489.998879,-490.000000,-489.998982 
4/1/2006  4:00,2.166667,732681.166667,3.166667,-349.583246,-489.998802,-490.000000,-489.998941 
4/1/2006  6:00,2.250000,732681.250000,3.250000,-291.656439,-489.998676,-490.000000,-489.998901 
4/1/2006  8:00,2.333333,732681.333333,3.333333,-248.153572,-489.998503,-490.000000,-489.998860 
4/1/2006 10:00,2.416667,732681.416667,3.416667,-248.153681,-489.998312,-490.000000,-489.998819 
4/1/2006 12:00,2.500000,732681.500000,3.500000,-248.153790,-489.998122,-490.000000,-489.998779 
4/1/2006 14:00,2.583333,732681.583333,3.583333,-248.153899,-489.997932,-490.000000,-489.998738 
4/1/2006 16:00,2.666667,732681.666667,3.666667,-248.154007,-489.997742,-490.000000,-489.998697 
