Data,WindS,WindDir,RelHum,AirT,AirP,SWglobal,LWin
1,7.75,325.24,80.56,7.35,988.16,0.49,328.27
1.04,8.06,324.28,77.33,7.53,989.22,-1.22,326.51
1.08,6.76,325.38,78.28,7.21,990.22,-0.78,326.81
1.13,6.16,319.43,80.62,6.73,991.52,-0.71,329.18
1.17,7.05,319.73,73.98,6.98,992.48,0.39,304.6
1.21,6.37,328.76,75.88,6.62,993.35,-0.62,317.68
1.25,7.55,331.96,73.58,6.8,993.83,0.49,281.84
1.29,6.66,336.9,75.4,6.52,994.31,-0.5,262.84
1.33,6.82,334.98,72.64,6.99,995.21,-2.08,272.5
1.38,5.86,338.43,73.28,7.22,996.39,-0.14,289.9
1.42,5.54,339.17,75,7.37,997.43,21.15,311.72
1.46,4.52,346.69,73.25,7.74,998.46,66.22,301.34
1.5,5.8,346.09,75.06,7.91,999.05,79.17,307.89
1.54,6.53,343.11,71.09,8.47,999.3,86.78,266.38
1.58,5.56,342.67,78.54,8.06,999.81,32.86,328.92
1.63,5.08,333.89,71.1,8.88,1000.2,60.37,323.8
1.67,5.09,316.7,72.19,8.83,1000.9,39,306.44
1.71,3.09,297.84,79.97,8.35,1001.8,-3.42,325.98
1.75,1.78,292.43,77.02,8.38,1002.5,-7.47,313.68
1.79,3.57,312.27,76.8,8.82,1003.4,-6.44,333.06
1.83,1.16,307.88,79.63,8.51,1003.9,-8.82,334.59
1.88,2.58,336.6,88.49,8.29,1004.2,-5.54,352.5
1.92,3.23,331.18,89.72,8.32,1004.4,-6.98,359.57
1.96,0.98,286.17,92.43,8.03,1004.5,-9.39,363.75
2,0.21,308.43,91.77,8.01,1004.9,-8.43,360.44
2.04,2.56,280.64,88.17,7.97,1004.9,-7.24,333.55
2.08,3.15,245.83,91.12,7.99,1004.9,-6.33,332.45
2.13,4.09,242.57,91.83,7.81,1005.1,-6.58,346.99
2.17,3.87,227.31,92.22,7.69,1005.1,-7.76,320.83
2.21,3.2,231.65,91.52,7.84,1004.9,-6.49,336.17
2.25,2.26,273.87,92.55,8.11,1004.9,-6.26,350.27
2.29,2.95,269.62,93.41,8.13,1005.1,-5.67,351.43
2.33,1.02,265.79,93.76,8.14,1005.2,-8.36,359.84
2.38,2.79,242.08,93.98,8.44,1005.3,-1.82,341.17
2.42,2.96,249.71,93.48,8.91,1005.4,15.7,349.62
