Data,Iprec
1,0.2
1.04,0.6
1.08,0.4
1.13,0
1.17,0
1.21,0
1.25,0
1.29,0
1.33,0
1.38,0
1.42,0
1.46,0
1.5,0
1.54,0
1.58,0
1.63,0
1.67,0
1.71,0
1.75,0
1.79,0
1.83,0
1.88,0
1.92,0
1.96,0
2,0
2.04,0.4
2.08,0.2
2.13,0
2.17,0
2.21,0.2
2.25,0
2.29,0
2.33,0
2.38,0
2.42,0
2.46,0
2.5,0.2
2.54,0
2.58,0
2.63,0
2.67,0
2.71,0
2.75,0
2.79,0
2.83,0
2.88,0.2
2.92,0
2.96,0
3,0
3.04,0
3.08,0
3.13,0.2
3.17,0.2
3.21,0.4
3.25,0
3.29,0
3.33,0
3.38,0
3.42,0
3.46,0.2
3.5,0
3.54,0
3.58,0
3.63,0
3.67,0
3.71,0
3.75,0
3.79,0
3.83,0
3.88,0
3.92,0
3.96,0
4,0
4.04,0
4.08,0
4.13,0
4.17,0
4.21,0
4.25,0
4.29,0
4.33,0
4.38,0
4.42,0
4.46,0
4.5,0
4.54,0
4.58,0
4.63,0
4.67,0
4.71,0
4.75,0
4.79,0
4.83,0.2
4.88,0.2
4.92,0.2
4.96,0.4
5,0.4
5.04,0
5.08,0
5.13,0
5.17,0
5.21,0
5.25,0
5.29,0
5.33,0.2
5.38,0
5.42,0
5.46,0
5.5,0.2
5.54,0.2
5.58,1.2
5.63,1
5.67,0.6
5.71,0.8
5.75,0.8
5.79,1.2
5.83,1
5.88,0.8
5.92,0
5.96,0.2
6,0
6.04,0
6.08,0
6.13,0
6.17,0
6.21,0
6.25,0
6.29,0.2
6.33,0.2
6.38,0
6.42,0
6.46,0.2
6.5,0
6.54,0
6.58,0
6.63,0
6.67,0
6.71,0
6.75,0
6.79,0
6.83,0
6.88,0
6.92,0
6.96,0
7,0
7.04,0
7.08,0
7.13,0
7.17,0
7.21,0
7.25,0
7.29,0
7.33,0
7.38,0
7.42,0
7.46,0
7.5,0
7.54,0
7.58,0
7.63,0
7.67,0
7.71,0
7.75,0
7.79,0
7.83,0
7.88,0
7.92,0
7.96,0
8,0
8.04,0
8.08,0
8.13,0
8.17,0
8.21,0
8.25,0
8.29,0
8.33,0
8.38,0
8.42,0
8.46,0
8.5,0
8.54,0
8.58,0
8.63,0
8.67,0
8.71,0
8.75,0
8.79,0
8.83,0
8.88,0
8.92,0
8.96,0
9,0.4
9.04,0
9.08,0
9.13,0
9.17,0
9.21,0
9.25,0
9.29,0
9.33,0
9.38,0
9.42,0
9.46,0
9.5,0
9.54,0.2
9.58,0.2
9.63,0.6
9.67,1.2
9.71,1
9.75,0.6
9.79,0.2
9.83,0
9.88,0.4
9.92,0.2
9.96,0
10,0
10.04,0
10.08,0
10.13,0.4
10.17,0.6
10.21,0.6
10.25,1
10.29,0.8
10.33,0.4
10.38,0.2
10.42,0
10.46,0
10.5,0
10.54,0.2
10.58,0.6
10.63,0.2
10.67,0.4
10.71,0.4
10.75,1.4
10.79,1.6
10.83,2
10.88,1.6
10.92,0.2
10.96,0.2
11,0
11.04,0.4
11.08,0
11.13,0
11.17,0.2
11.21,0
11.25,0
11.29,0
11.33,0
11.38,0
11.42,0
11.46,0
11.5,0
11.54,0
11.58,0
11.63,0
11.67,0
11.71,0
11.75,0
11.79,0
11.83,0
11.88,0
11.92,0
11.96,0
12,0
