Data,AirT,WindS,WindDir,RelHum,SWglobal,LWin,SWnet,Iprec
1/1/2002 0:00,0.7,3.5,325,81,-2.1,232.33,-3.6,1
1/1/2002 1:00,0.7,3.5,325,81,-2.1,231.76,-3.81,1
1/1/2002 2:00,0.7,2.5,324,82,-2.1,236,-3.93,1
1/1/2002 3:00,0.7,2.1,325,83,-2,247.51,-3.46,1
1/1/2002 4:00,1.1,2.2,319,84,-1.1,265.05,-2.48,1
1/1/2002 5:00,2.3,3.6,320,80,-0.6,275.1,-1.92,1
1/1/2002 6:00,2.5,3.9,329,78,-2,262.01,-2.7,1
1/1/2002 7:00,2.9,3.3,332,81,-1.6,272.56,-2.29,1
1/1/2002 8:00,3.8,5,337,75,-0.9,278.2,-1.58,1
1/1/2002 9:00,4,5.3,335,76,6,252.15,11.24,1
1/1/2002 10:00,4.3,5.6,338,76,61.4,260.03,59.16,1
1/1/2002 11:00,5.3,6.8,339,75,175.9,257.45,120.55,1
1/1/2002 12:00,5.7,7.6,347,75,205.5,262.29,146.94,1
1/1/2002 13:00,5.8,7.8,346,72,184.9,250.47,131.28,1
1/1/2002 14:00,5.7,7,343,72,155.9,245.9,106.8,1
1/1/2002 15:00,5.9,7.6,343,68,176.5,245.81,84.12,1
1/1/2002 16:00,5.1,5.8,334,71,44.9,241.41,18.31,1
1/1/2002 17:00,4.4,5.7,317,73,-0.1,253.54,-2.27,1
1/1/2002 18:00,4.4,5.7,298,75,-1.8,262.39,-2.73,1
1/1/2002 19:00,4.6,6.1,292,75,-1.8,257.19,-2.91,1
1/1/2002 20:00,4.8,6,312,69,-2,250.21,-3.22,1
1/1/2002 21:00,4.7,6.1,308,74,-2.2,250.56,-3.22,1
1/1/2002 22:00,5,5.9,337,73,-1.6,269.07,-2.54,1
1/1/2002 23:00,5.3,6.7,331,72,-1.7,275.19,-2.22,1
2/1/2002 0:00,5.6,6.5,286,74,-1.4,280.61,-2.12,1
2/1/2002 1:00,5.6,6,308,77,-1.2,288.99,-1.83,1
2/1/2002 2:00,6,6.5,281,73,-1.6,272.17,-2.32,1
2/1/2002 3:00,6.2,6.9,246,74,-1.1,303.89,-1.28,1
2/1/2002 4:00,6.5,6.5,243,75,-0.3,326.52,-0.48,1
2/1/2002 5:00,6.4,7,227,78,-0.5,315.01,-0.87,1
2/1/2002 6:00,6.4,6.8,232,81,-0.4,327.5,-0.51,1
2/1/2002 7:00,6.4,6.2,274,80,-0.3,333.29,-0.33,1
2/1/2002 8:00,6.6,6.6,270,83,-0.2,336.84,-0.2,1
2/1/2002 9:00,6.9,6.5,266,85,0.5,339.67,0.9,1
2/1/2002 10:00,7.1,6.8,242,88,2.9,341.18,2.94,1
2/1/2002 11:00,7,6.3,250,88,4,341.24,4.83,1
2/1/2002 12:00,6.6,6.2,229,93,15.5,341.74,15.75,1
2/1/2002 13:00,6.6,6.3,217,94,18.6,343.13,11.48,1
2/1/2002 14:00,6.9,6.6,210,95,15.1,344.79,10.49,1
2/1/2002 15:00,7.2,6.2,227,96,7.2,346.31,5.28,1
2/1/2002 16:00,7.4,6.1,231,96,2.9,347.14,1.76,1
2/1/2002 17:00,7.4,6,221,96,0.1,347.43,0.19,1
2/1/2002 18:00,7.5,6.7,208,96,-0.1,347.25,0.11,1
2/1/2002 19:00,7.5,6.2,226,96,-0.1,347.17,0.09,1
2/1/2002 20:00,7.6,6.3,224,95,0,347.58,0.11,1
2/1/2002 21:00,7.6,6.4,222,95,-0.1,347.6,0.12,1
2/1/2002 22:00,7.6,6.1,230,95,0,348.04,0.08,1
2/1/2002 23:00,7.6,5.8,225,96,-0.1,348.2,0.06,1
